ID	frame	x(m)	y(m)	t(s)	speed(m/s)	headway(s)	density(1/m)
2.0	1501.0	1.3366399999999998	0.10169000000000006	1.75	0.9942499999999999	1.2152198888488586	0.37295866064425215
4.0	1501.0	2.5518598888488584	-0.014159688325293684	1.86	1.0784469509071415	4.1473047312931755	0.3664877724691622
6.0	1501.0	6.699164620142034	-0.1388452992165221	1.77	1.0769324659964608	1.3099032582811239	0.5580207146725294
8.0	1501.0	8.009067878423158	0.0541400000000003	1.74	0.9978749999999992	2.2741930797440446	0.5096398594442807
7.0	1501.0	10.283260958167203	-0.13810311376734385	1.58	1.1071190844591072	1.650146751486643	0.693505073674058
5.0	1501.0	11.933407709653846	-0.2357161515010502	1.83	1.2656168497293319	1.2337542838790831	0.6946413104458253
3.0	1501.0	13.167161993532929	-0.4420162937771057	1.56	1.3209453702203389	1.6454295048253158	0.6370485781012516
1.0	1501.0	14.812591498358245	-0.047093247315989295	1.63	0.9678310300416931	1.4940485016417557	0.738206671225299
2.0	1502.0	1.3735600000000001	0.10641000000000012	1.75	1.0026250000000003	1.244745038986953	0.372652356629223
4.0	1502.0	2.618305038986953	-0.013584638149592543	1.86	1.0547156443629424	4.122187342954039	0.3681463004355295
6.0	1502.0	6.740492381940992	-0.14333458481984085	1.77	1.07011242454508	1.3104354964821656	0.5572960614168627
8.0	1502.0	8.050927878423158	0.049580000000000624	1.74	1.0067499999999985	2.2783212496452414	0.5076073932632199
7.0	1502.0	10.3292491280684	-0.14516070090524247	1.58	1.1208236927327375	1.6617316860355036	0.6922020183527543
5.0	1502.0	11.990980814103903	-0.2395435906484027	1.83	1.2648480911113813	1.2275982306258726	0.6992412605603536
3.0	1502.0	13.218579044729776	-0.4457909505451305	1.56	1.2971912012611408	1.6326448825983846	0.640003900384428
1.0	1502.0	14.85122392732816	-0.028552437326448743	1.63	0.9637869825706985	1.4923360726718407	0.7307054188057696
2.0	1503.0	1.41312	0.11214000000000013	1.75	1.0038249999999993	1.2267890277374696	0.37242556472698796
4.0	1503.0	2.6399090277374695	-0.006550591317152632	1.86	1.0815500726963256	4.143411596019735	0.3671942185322095
6.0	1503.0	6.783320623757205	-0.15388604481476698	1.77	1.0965941387756284	1.303297254665952	0.5575432634972486
8.0	1503.0	8.086617878423157	0.05600000000000005	1.74	1.0091249999999996	2.283868317840099	0.5057726842826653
7.0	1503.0	10.370486196263256	-0.1472148846558261	1.58	1.1192313626134842	1.6704773045151082	0.6893449779225287
5.0	1503.0	12.040963500778364	-0.24314590955245108	1.83	1.270863178948054	1.2308276502658462	0.7022930181432172
3.0	1503.0	13.27179115104421	-0.4469952302717166	1.56	1.3130210304650358	1.616986507545052	0.6428121542572495
1.0	1503.0	14.888777658589262	-0.012167805512420582	1.63	0.9648182584292558	1.4943423414107382	0.7349884032339304
2.0	1504.0	1.45353	0.11953000000000014	1.75	1.0217500000000002	1.2361795504078554	0.3723064405791081
