ID	frame	x(m)	y(m)	t(s)	speed(m/s)	headway(s)	density(1/m)
18.0	1501.0	0.43379999999999996	-0.12586999999999993	1.68	0.20245000000000068	0.6158600000000001	1.594603860535946
16.0	1501.0	1.04966	-0.02082000000000006	1.84	0.2690249999999994	0.6383700000000001	1.3802570926727695
14.0	1501.0	1.6880300000000001	-0.15741000000000005	1.625	0.3477000000000008	0.8106354140038088	1.3267377276336192
12.0	1501.0	2.498665414003809	-0.0065418187249179915	1.83	0.32673163965519225	0.6968215297036844	1.304297233694708
10.0	1501.0	3.1954869437074933	0.10908793484009771	1.7	0.2810226104241409	0.8365712801043692	1.3289649077059813
8.0	1501.0	4.0320582238118625	-0.07592438275666091	1.68	0.4628011577481561	0.6683593530545897	1.376546539898169
6.0	1501.0	4.700417576866452	0.1431906064888917	1.64	0.38382913084406667	0.7845519303866162	1.3345647710875355
4.0	1501.0	5.484969507253068	0.1311782826264194	1.58	0.3018062689491763	0.7140639804546405	1.3696839762440085
2.0	1501.0	6.199033487707709	0.006365853849927827	1.56	0.3045026656039451	0.7461268626071762	1.2205359637828712
1.0	1501.0	6.945160350314885	0.07592294697648705	1.63	0.44613732781390913	0.8924975281082723	1.1685945851140478
3.0	1501.0	7.837657878423157	-0.09092999999999929	1.75	0.3507249999999984	0.8189599999999997	1.16474774475718
5.0	1501.0	8.656617878423157	0.00435000000000052	1.86	0.49662500000000165	0.8981499999999993	1.206188468306786
7.0	1501.0	9.554767878423156	0.0640300000000007	1.77	0.5239249999999984	0.7599656697738499	1.3007667075683305
9.0	1501.0	10.314733548197006	-0.040878160952378284	1.74	0.38221608936432006	0.7775890572677309	1.1781587927878907
11.0	1501.0	11.092322605464737	-0.07303097882805587	1.58	0.37828887963390123	0.9199749826927714	1.0973162170683315
13.0	1501.0	12.012297588157509	-0.0812112580372717	1.83	0.41567035895401006	0.9026536897817348	1.2856666699385049
15.0	1501.0	12.914951277939243	-0.08340270751670209	1.73	0.32195790714770745	0.6529594771176317	1.4163122432083688
17.0	1501.0	13.567910755056875	-0.18464934246304043	1.67	0.34492948623843667	0.7591585142296751	1.532568621294601
19.0	1501.0	14.32706926928655	-0.20221730342568334	1.57	0.34634820134229916	0.5458401476315782	1.8574746154730664
20.0	1501.0	14.872909416918128	0.047333966430884944	1.82	0.2558227984021677	0.5308905830818722	1.7440584112240298
18.0	1502.0	0.44062999999999986	-0.12748999999999988	1.68	0.20969999999999933	0.61545	1.5869615241178474
