ID	frame	x(m)	y(m)	t(s)	speed(m/s)	headway(s)	density(1/m)
17.0	601.0	0.44279999999999986	-0.021989999999999954	1.75	0.4338749999999991	0.6144700000000003	1.9688139864545593
15.0	601.0	1.0572700000000002	-0.17964999999999987	1.73	0.32247500000000096	0.40137	1.6215865602905883
13.0	601.0	1.4586400000000002	-0.005619999999999958	1.64	0.1825499999999991	0.83199	1.1436027296531255
11.0	601.0	2.29063	0.06764999999999999	1.69	0.35785428160281185	0.9168690645517561	1.2614305179562917
8.0	601.0	3.2074990645517563	-0.04024041248390131	1.625	0.35977584352572256	0.6686324525990281	1.6866262961747933
5.0	601.0	3.8761315171507844	0.32362407811112837	1.83	0.2864202253080117	0.5171666805793924	1.8223765816426951
1.0	601.0	4.393298197730177	0.12355375483800901	1.77	0.2951277121652973	0.5803013291319674	1.9255117223098552
2.0	601.0	4.973599526862144	0.22055740622949105	1.58	0.3499679367689046	0.45838359645279514	1.9230337129263435
3.0	601.0	5.431983123314939	0.011344660357988312	1.68	0.3495755277567181	0.5816397721217132	2.1298103686899155
4.0	601.0	6.013622895436653	0.3981054202603933	1.62	0.26111214886723966	0.3574109665739744	1.990792307571227
6.0	601.0	6.371033862010627	0.10790765255174906	1.74	0.29494198819066675	0.6472141730720624	1.608241896957272
7.0	601.0	7.0182480350826895	0.10331827164950291	1.61	0.33302192505447525	0.5963798433404675	1.6338269581042428
9.0	601.0	7.614627878423157	0.18284000000000056	1.77	0.2505999999999986	0.6277400000000011	1.6317206494248186
10.0	601.0	8.242367878423158	0.3043100000000001	1.8	0.3801999999999994	0.5979599999999987	1.4528126452812644
12.0	601.0	8.840327878423157	0.10719000000000012	1.67	0.3944750000000008	0.7786800000000014	1.594673984858315
14.0	601.0	9.619007878423158	0.08863000000000021	1.69	0.37020000000000053	0.47549484638886597	1.8633030252017069
16.0	601.0	10.094502724812024	-0.010832416834690939	1.69	0.3290736512486303	0.5978678718321788	1.6150641766673102
18.0	601.0	10.692370596644203	-0.02073098806980278	1.61	0.4658954543127347	0.6404730120124533	1.8375108088450003
21.0	601.0	11.332843608656656	-0.055887516063875875	1.81	0.46245833799260616	0.447955959601126	1.4576421282057281
22.0	601.0	11.780799568257782	-0.472987270076912	1.63	0.59602816995179	0.9241229350051121	0.9889649997158693
24.0	601.0	12.704922503262894	-0.1942692584079979	1.64	0.7982438572450334	1.0981933255042104	1.2148004326684991
23.0	601.0	13.803115828767105	-0.29346295563998703	1.67	0.5569412744086977	0.5481676291150492	1.8803113434661263
20.0	601.0	14.351283457882154	0.11325809256614505	1.65	0.6236849444660386	0.5154860083263131	1.8840968752213432
19.0	601.0	14.866769466208467	-0.16535765192420837	1.69	0.3702062664346295	0.5460305337915334	1.7233942956197463
17.0	602.0	0.46550999999999987	-0.028489999999999904	1.75	0.435875	0.6029100000000001	1.9894756736862
15.0	602.0	1.06842	-0.17876999999999987	1.73	0.29517499999999974	0.40237999999999996	1.6176889490649908
13.0	602.0	1.4707999999999999	-0.0039599999999999635	1.64	0.1929499999999995	0.8339516205850213	1.1392057451152715
11.0	602.0	2.304751620585021	0.06541711303694298	1.69	0.3740838663435275	0.921657503206422	1.263213994411544
8.0	602.0	3.226409123791443	-0.028187067199179294	1.625	0.3571162386900162	0.6616055138658998	1.6977774536581083
5.0	602.0	3.888014637657343	0.3214969505429115	1.83	0.2733268497833452	0.5164051822301694	1.8037971016388126
1.0	602.0	4.404419819887512	0.12219635528910833	1.77	0.3029259139380702	0.5923669730099794	1.9238583763726382
2.0	602.0	4.996786792897492	0.22898129953440516	1.58	0.325993015746171	0.4472105887079074	1.944186397716108
3.0	602.0	5.443997381605399	0.01399310794846742	1.68	0.37641866851273686	0.5814973594340289	2.144047126844055
4.0	602.0	6.025494741039428	0.40121738060596623	1.62	0.256476060215558	0.3513179574307239	1.9782670697925249
6.0	602.0	6.376812698470152	0.10622821583642761	1.74	0.2731062220773506	0.6596678849458337	1.6004927213473954
7.0	602.0	7.036480583415986	0.10622497243377138	1.61	0.3240597729441075	0.5899472950071711	1.6411639431639071
9.0	602.0	7.626427878423157	0.2027100000000006	1.77	0.2474249999999989	0.6287000000000011	1.623679745407016
10.0	602.0	8.255127878423158	0.3157300000000003	1.8	0.3578500000000018	0.6030699999999989	1.4466546112115748
12.0	602.0	8.858197878423157	0.11163000000000078	1.67	0.38077499999999986	0.7794299999999996	1.597904745559681
14.0	602.0	9.637627878423157	0.07859000000000016	1.69	0.37044999999999995	0.4722090639415004	1.8577538017421154
16.0	602.0	10.109836942364657	-0.02050821846196471	1.69	0.34406277511426	0.604359853922908	1.6136834506888769
18.0	602.0	10.714196796287565	-0.027570248613517867	1.61	0.47570438695260897	0.6350405992119406	1.8620493128354023
21.0	602.0	11.349237395499506	-0.05764395717383608	1.81	0.46021698946134837	0.43904481099372994	1.4366687163460423
22.0	602.0	11.788282206493236	-0.463517946404582	1.63	0.594593887802275	0.9530645718058821	0.9817208034462225
24.0	602.0	12.741346778299118	-0.18119448797024185	1.64	0.7813554863563343	1.0841745220171486	1.229436526877057
23.0	602.0	13.825521300316266	-0.29809818119657816	1.67	0.5532140087203619	0.5425869709736961	1.9039765268443867
20.0	602.0	14.368108271289962	0.1154384405297173	1.65	0.6140398477437081	0.5078461471880917	1.8737087885523784
19.0	602.0	14.875954418478054	-0.15829688396115493	1.69	0.3486878667264204	0.5595555815219464	1.7204810463132336
17.0	603.0	0.48323000000000005	-0.03486999999999996	1.75	0.41432499999999983	0.5979700000000001	2.0159664543182
15.0	603.0	1.0812000000000002	-0.17798000000000003	1.73	0.29240000000000044	0.39410999999999996	1.6115457335763406
13.0	603.0	1.4753100000000001	-0.0048799999999999955	1.64	0.25322500000000026	0.8469345191410127	1.1319933380823697
11.0	603.0	2.322244519141013	0.058315242131849576	1.69	0.37733909967433865	0.9198603308958782	1.269519050955401
8.0	603.0	3.242104850036891	-0.011386023433218817	1.625	0.3616076062760254	0.6555394226524136	1.700363357545567
5.0	603.0	3.8976442726893046	0.3222393368960066	1.83	0.27417441989313174	0.5206797608090268	1.7933142246564486
1.0	603.0	4.418324033498331	0.1169860751573566	1.77	0.3145879984716249	0.5945737583466286	1.9217593190641244
2.0	603.0	5.01289779184496	0.2204742107818547	1.58	0.3708988545266556	0.4461392904517911	1.9559162838355293
3.0	603.0	5.459037082296751	0.015349282342896897	1.68	0.38415071857256455	0.5763993613958345	2.1411276762385083
4.0	603.0	6.035436443692586	0.3978348335009838	1.62	0.24681336189224412	0.35768785918204404	1.978071020284553
6.0	603.0	6.39312430287463	0.11859803601609853	1.74	0.2559524528774748	0.6533981834779876	1.6083071307877561
7.0	603.0	7.046522486352617	0.10583138564043293	1.61	0.3144345397919812	0.5901453920705402	1.6357972744763023
9.0	603.0	7.636667878423157	0.2049500000000002	1.77	0.2518250000000011	0.6325000000000003	1.6201547247762151
10.0	603.0	8.269167878423158	0.32502999999999993	1.8	0.3406999999999982	0.6019500000000004	1.4480057341027077
12.0	603.0	8.871117878423158	0.11709000000000014	1.67	0.3853250000000008	0.779259999999999	1.599333903100244
14.0	603.0	9.650377878423157	0.06423000000000023	1.69	0.3593499999999983	0.4712606049362691	1.8454401500987583
16.0	603.0	10.121638483359426	-0.028862847874986386	1.69	0.3396445159236494	0.6124916911720444	1.606532651271903
18.0	603.0	10.73413017453147	-0.04122700942612734	1.61	0.4480101641900536	0.6324254279519188	1.8292856984067238
21.0	603.0	11.36655560248339	-0.05732261791786564	1.81	0.47385261903324594	0.4608975022726849	1.418729127462377
22.0	603.0	11.827453104756074	-0.45656694883039206	1.63	0.6388051671851569	0.9488148672599817	0.9902026324287753
24.0	603.0	12.776267972016056	-0.16872461331830668	1.64	0.7555196025279143	1.0709737441824938	1.2344330464326214
23.0	603.0	13.84724171619855	-0.2967675882923879	1.67	0.5592818779223396	0.5492032316201101	1.9138982164595855
20.0	603.0	14.39644494781866	0.12975115007688642	1.65	0.6230435368061338	0.49578441861120126	1.8925324462829425
19.0	603.0	14.892229366429861	-0.1511507791308695	1.69	0.3503676123768118	0.5610006335701396	1.7256692638010331
17.0	604.0	0.4979600000000002	-0.04126999999999992	1.75	0.40489999999999915	0.5976599999999999	2.0224287346674625
15.0	604.0	1.09562	-0.17881999999999998	1.73	0.30795000000000017	0.3912499999999999	1.6138763638573492
13.0	604.0	1.48687	-0.0007399999999999629	1.64	0.2616000000000007	0.8480023025864083	1.1290180935622265
11.0	604.0	2.334872302586408	0.04827927682698885	1.69	0.40922236256964006	0.923448492936001	1.2702718733790592
8.0	604.0	3.258320795522409	-0.004089719820669968	1.625	0.319733972839259	0.6510176051598231	1.7072141854183236
5.0	604.0	3.9093384006822323	0.31869930873152885	1.83	0.25935860433284774	0.5204815641198266	1.7857476289332264
1.0	604.0	4.429819964802059	0.10840868073949217	1.77	0.31663112894512624	0.5994975234037359	1.9185853489935962
2.0	604.0	5.029317488205795	0.21823350323239832	1.58	0.3411735853567044	0.442937206460698	1.9704319435889308
3.0	604.0	5.472254694666493	0.01827502459876218	1.68	0.3979238944331964	0.5720686690313599	2.1473912506340818
4.0	604.0	6.044323363697853	0.3929119409558508	1.62	0.2244728899125059	0.3592939782782256	1.969387840791699
6.0	604.0	6.403617341976078	0.12403632037227519	1.74	0.26170060159306896	0.6562500189854088	1.61750720380841
7.0	604.0	7.059867360961487	0.10386420386528283	1.61	0.3021224772218245	0.5802205174616706	1.6369418254735664
9.0	604.0	7.640087878423158	0.19185000000000052	1.77	0.25959999999999983	0.6415699999999998	1.6023843479096904
10.0	604.0	8.281657878423157	0.33200000000000074	1.8	0.3377499999999989	0.6065699999999996	1.4465499783017504
12.0	604.0	8.888227878423157	0.11600000000000055	1.67	0.3815500000000016	0.7760300000000004	1.605727300970316
14.0	604.0	9.664257878423157	0.050370000000000026	1.69	0.35307500000000047	0.4695115055790797	1.8361308752189935
16.0	604.0	10.133769384002237	-0.03945296234478102	1.69	0.35062831110061143	0.6197354685841656	1.5946021998686688
18.0	604.0	10.753504852586403	-0.05337255707663591	1.61	0.4450865220239386	0.6344958376091405	1.8231389998664664
21.0	604.0	11.388000690195543	-0.062157268315278014	1.81	0.48311420260331417	0.4625132221205277	1.411522007572381
22.0	604.0	11.850513912316071	-0.44555109922379854	1.63	0.5889273945160323	0.9543970274332274	0.9930995420219235
24.0	604.0	12.804910939749298	-0.15704455303448528	1.64	0.7080264906904032	1.059499782878511	1.2314305888858736
23.0	604.0	13.86441072262781	-0.2973074229463666	1.67	0.5611938816012563	0.5646274866978302	1.9185003600805821
20.0	604.0	14.42903820932564	0.14831650234323313	1.65	0.5936903844437413	0.477853422670357	1.9250727224633588
19.0	604.0	14.906891631995997	-0.1408201601863348	1.69	0.3447333776544764	0.5610683680040041	1.7260300647037314
17.0	605.0	0.5167599999999999	-0.04459999999999997	1.75	0.43399999999999994	0.5968400000000003	2.0405248229844717
