ID	frame	x(m)	y(m)	z(m)	speed(m/s)	headway(s)	density(1/m)
4.0	0.0	1.5071299999999999	0.04561000000000015	1.86	0.0004999999999999449	1.371003997553837	0.7853494333481843
6.0	0.0	2.878133997553837	0.04204729062163026	1.77	0.03154610731130436	1.1756330980806373	0.6730465167824504
8.0	0.0	4.053767095634474	0.12520421050649877	1.74	-0.02823809626312679	1.7959297138943073	0.6466782099151239
7.0	0.0	5.849696809528782	0.1777159956897021	1.58	0.005315372570784405	1.2967985848719348	0.5511431845299988
5.0	0.0	7.146495394400716	0.16504542711745973	1.83	0.026664672521230504	2.33202248402244	0.4170191495431587
3.0	0.0	9.478517878423157	0.11222000000000065	1.56	0.008775000000000865	2.4639203454399112	0.40653943313709595
1.0	0.0	11.942438223863068	-0.3606468659827906	1.63	0.04345858163127936	2.455651624656152	0.44104430879396694
2.0	0.0	14.39808984851922	-0.08388433505056847	1.75	-0.01110668075542165	2.079040151480781	0.5797027265751468
4.0	1.0	1.5059700000000003	0.058659999999999934	1.86	-0.001974999999999616	1.3747260665742405	0.7912687917846236
6.0	1.0	2.8806960665742407	0.04063447385885288	1.77	0.03271425168412723	1.1528600340846902	0.6737718599964533
8.0	1.0	4.033556100658931	0.1230625514064645	1.74	-0.0365000687448358	1.8155037678860957	0.6415206273163502
7.0	1.0	5.849059868545027	0.17793496681364496	1.58	0.005315372570784405	1.3020888937349762	0.5507551112992284
5.0	1.0	7.151148762280003	0.1674627750245674	1.83	0.03133670881249273	2.329289116143154	0.4173447527672486
3.0	1.0	9.480437878423157	0.11108000000000029	1.56	0.0132750000000037	2.4629120238946403	0.406809367683282
1.0	1.0	11.943349902317797	-0.36158135232991917	1.63	0.056809234300181366	2.4533956102921	0.4412458924194238
2.0	1.0	14.396745512609897	-0.08459439466954777	1.75	-0.010054888964328157	2.0792244873901042	0.5790470849979187
4.0	2.0	1.50578	0.06479000000000013	1.86	-0.0090749999999995	1.3757347654635697	0.791999125909465
6.0	2.0	2.8815147654635695	0.036702140065044464	1.77	0.054306613022612193	1.1495205467861358	0.6734506660233168
