#description: experiment
#framerate: 25
#geometry: geometry.xml
#ID: the agent ID
#FR: the current frame
#X,Y,Z: the agents coordinates (in metres)
# personal information:
# ID| Comment
#  1 M 27
#  2 M 29
#  3 M 31
#  4 M 5
#  5 M 1
#  6 M 41
#  7 M 7
#  8 M 39
#  9 M 15
# 10 M 17
# 11 M 19
# 12 M 21
# 13 M 23
# 14 M 25
# 15 M 27
# 16 M 29
# 17 M 31
# 18 M 5
# 19 M 1
# 20 M 41
# 21 M 7
# 22 M 39
# 23 M 15
# 24 M 17
# 25 M 19
# 26 M 21
# 27 M 23
# 28 M 25
# 29 M 27
# 30 M 29
# 31 M 31
# 32 M 5
# 33 M 1
# 34 M 41
# 35 M 7
# 36 M 39
# 37 M 15
# 38 M 17
# 39 M 19
# 40 M 21
# 41 M 23
# 42 M 25
# 43 M 27
# 44 M 29
# 45 M 31
# 46 M 5
# 47 M 41
# 48 M 7
# 49 M 39
# 50 M 15
# 51 M 17
# 52 M 19
# 53 M 21
# 54 M 23
# 55 M 25
# 56 M 1
#ID	FR	X	Y	Z
1	66	-0.2098	1.5571	0.0000
1	67	-0.1800	1.5544	0.0000
1	68	-0.1485	1.5506	0.0000
1	69	-0.1152	1.5454	0.0000
1	70	-0.0815	1.5399	0.0000
1	71	-0.0462	1.5334	0.0000
1	72	-0.0088	1.5285	0.0000
1	73	0.0297	1.5280	0.0000
1	74	0.0702	1.5341	0.0000
1	75	0.1105	1.5410	0.0000
1	76	0.1492	1.5470	0.0000
1	77	0.1875	1.5523	0.0000
1	78	0.2253	1.5576	0.0000
1	79	0.2628	1.5623	0.0000
1	80	0.2997	1.5650	0.0000
1	81	0.3362	1.5650	0.0000
1	82	0.3724	1.5627	0.0000
1	83	0.4098	1.5585	0.0000
1	84	0.4478	1.5530	0.0000
1	85	0.4869	1.5475	0.0000
1	86	0.5281	1.5445	0.0000
1	87	0.5709	1.5449	0.0000
1	88	0.6156	1.5540	0.0000
1	89	0.6610	1.5658	0.0000
1	90	0.7067	1.5761	0.0000
1	91	0.7525	1.5854	0.0000
1	92	0.7982	1.5935	0.0000
1	93	0.8445	1.5998	0.0000
1	94	0.8900	1.6026	0.0000
1	95	0.9352	1.6017	0.0000
1	96	0.9797	1.5978	0.0000
1	97	1.0245	1.5916	0.0000
1	98	1.0697	1.5832	0.0000
1	99	1.1142	1.5742	0.0000
1	100	1.1596	1.5675	0.0000
1	101	1.2055	1.5633	0.0000
1	102	1.2512	1.5667	0.0000
1	103	1.2957	1.5721	0.0000
1	104	1.3396	1.5779	0.0000
1	105	1.3818	1.5835	0.0000
1	106	1.4242	1.5890	0.0000
1	107	1.4664	1.5931	0.0000
1	108	1.5078	1.5945	0.0000
1	109	1.5492	1.5934	0.0000
1	110	1.5917	1.5900	0.0000
1	111	1.6348	1.5857	0.0000
1	112	1.6788	1.5803	0.0000
1	113	1.7241	1.5748	0.0000
1	114	1.7719	1.5706	0.0000
1	115	1.8193	1.5695	0.0000
1	116	1.8685	1.5742	0.0000
1	117	1.9175	1.5831	0.0000
1	118	1.9646	1.5911	0.0000
1	119	2.0112	1.5967	0.0000
1	120	2.0575	1.6013	0.0000
1	121	2.1030	1.6054	0.0000
1	122	2.1486	1.6073	0.0000
1	123	2.1940	1.6067	0.0000
1	124	2.2385	1.6036	0.0000
1	125	2.2828	1.5982	0.0000
1	126	2.3257	1.5909	0.0000
1	127	2.3676	1.5830	0.0000
1	128	2.4101	1.5763	0.0000
1	129	2.4518	1.5717	0.0000
1	130	2.4935	1.5725	0.0000
1	131	2.5349	1.5770	0.0000
