#id	fr	x	y	z	velocity	headway	rho
44	1251	1.3620	1.5571	0.0000	0.9775	0.7510	1.1063
43	1251	2.1130	1.7540	0.0000	0.7683	0.9521	1.1743
44	1252	1.4019	1.5537	0.0000	0.9835	0.7418	1.1042
43	1252	2.1437	1.7471	0.0000	0.7670	0.9512	1.1813
44	1253	1.4437	1.5517	0.0000	0.9808	0.7310	1.1020
43	1253	2.1747	1.7399	0.0000	0.7698	0.9473	1.1917
44	1254	1.4855	1.5521	0.0000	0.9728	0.7200	1.1000
44	1255	1.5278	1.5555	0.0000	0.9587	0.7082	1.0984
44	1256	1.5691	1.5606	0.0000	0.9365	0.6986	1.0963
44	1257	1.6079	1.5644	0.0000	0.9063	0.6896	1.0958
44	1258	1.6433	1.5675	0.0000	0.8680	0.6855	1.0946
44	1259	1.6760	1.5701	0.0000	0.8290	0.6823	1.0945
44	1260	1.7071	1.5724	0.0000	0.7887	0.6800	1.0948
44	1261	1.7366	1.5747	0.0000	0.7523	0.6798	1.0954
44	1262	1.7644	1.5765	0.0000	0.7245	0.6831	1.0949
44	1263	1.7909	1.5776	0.0000	0.7062	0.6875	1.0951
44	1264	1.8171	1.5776	0.0000	0.6980	0.6932	1.0955
44	1265	1.8433	1.5757	0.0000	0.6957	0.6986	1.0961
44	1266	1.8700	1.5725	0.0000	0.6985	0.7047	1.0965
44	1267	1.8977	1.5683	0.0000	0.7057	0.7115	1.0963
44	1268	1.9258	1.5645	0.0000	0.7150	0.7195	1.0955
45	1269	0.8551	1.6275	0.0000	0.9060	1.1001	1.0241
44	1269	1.9552	1.5608	0.0000	0.7245	0.7270	1.0946
45	1270	0.8905	1.6224	0.0000	0.9318	1.0949	1.0241
44	1270	1.9854	1.5574	0.0000	0.7350	0.7351	1.0929
45	1271	0.9274	1.6169	0.0000	0.9502	1.0886	1.0228
44	1271	2.0160	1.5548	0.0000	0.7427	0.7412	1.0930
45	1272	0.9649	1.6130	0.0000	0.9597	1.0818	1.0201
44	1272	2.0467	1.5537	0.0000	0.7455	0.7488	1.0925
45	1273	1.0044	1.6116	0.0000	0.9620	1.0725	1.0171
44	1273	2.0769	1.5548	0.0000	0.7455	0.7582	1.0925
45	1274	1.0470	1.6153	0.0000	0.9585	1.0599	1.0148
44	1274	2.1069	1.5566	0.0000	0.7410	0.7676	1.0944
45	1275	1.0899	1.6215	0.0000	0.9520	1.0474	1.0115
44	1275	2.1373	1.5591	0.0000	0.7325	0.7747	1.0976
45	1276	1.1308	1.6269	0.0000	0.9365	1.0363	1.0092
44	1276	2.1671	1.5613	0.0000	0.7217	0.7795	1.1014
45	1277	1.1688	1.6298	0.0000	0.9150	1.0271	1.0079
44	1277	2.1959	1.5630	0.0000	0.7093	0.7837	1.1045
45	1278	1.2045	1.6313	0.0000	0.8885	1.0195	1.0064
44	1278	2.2240	1.5643	0.0000	0.6952	0.7873	1.1069
45	1279	1.2385	1.6319	0.0000	0.8553	1.0131	1.0059
44	1279	2.2516	1.5648	0.0000	0.6863	0.7908	1.1087
45	1280	1.2713	1.6325	0.0000	0.8207	1.0071	1.0069
44	1280	2.2784	1.5650	0.0000	0.6795	0.7940	1.1104
45	1281	1.3020	1.6318	0.0000	0.7890	1.0027	1.0081
44	1281	2.3047	1.5656	0.0000	0.6800	0.7943	1.1130
45	1282	1.3309	1.6301	0.0000	0.7653	0.9995	1.0105
44	1282	2.3304	1.5663	0.0000	0.6868	0.7928	1.1159
45	1283	1.3598	1.6282	0.0000	0.7468	0.9952	1.0141
45	1284	1.3891	1.6264	0.0000	0.7328	0.9923	1.0177
45	1285	1.4182	1.6238	0.0000	0.7225	0.9909	1.0208
45	1286	1.4464	1.6199	0.0000	0.7172	0.9927	1.0230
45	1287	1.4749	1.6163	0.0000	0.7150	0.9957	1.0242
45	1288	1.5032	1.6131	0.0000	0.7118	1.0012	1.0244
45	1289	1.5316	1.6110	0.0000	0.7057	1.0083	1.0239
45	1290	1.5603	1.6113	0.0000	0.7003	1.0150	1.0242
45	1291	1.5889	1.6149	0.0000	0.6988	1.0224	1.0239
45	1292	1.6169	1.6221	0.0000	0.6995	1.0302	1.0241
45	1293	1.6445	1.6306	0.0000	0.7010	1.0367	1.0244
46	1294	0.7640	1.5255	0.0000	0.8890	0.9074	1.2045
45	1294	1.6714	1.6372	0.0000	0.7017	1.0414	1.0263
46	1295	0.7985	1.5218	0.0000	0.8890	0.8998	1.2050
45	1295	1.6983	1.6413	0.0000	0.6982	1.0446	1.0286
46	1296	0.8341	1.5171	0.0000	0.8945	0.8918	1.2058
45	1296	1.7259	1.6437	0.0000	0.6945	1.0452	1.0325
46	1297	0.8695	1.5112	0.0000	0.8922	0.8852	1.2061
45	1297	1.7547	1.6462	0.0000	0.6945	1.0425	1.0375
46	1298	0.9054	1.5050	0.0000	0.8912	0.8782	1.2068
45	1298	1.7836	1.6490	0.0000	0.6967	1.0370	1.0443
46	1299	0.9422	1.4991	0.0000	0.8787	0.8701	1.2087
45	1299	1.8123	1.6515	0.0000	0.6998	1.0305	1.0523
46	1300	0.9782	1.4941	0.0000	0.8637	0.8614	1.2121
45	1300	1.8396	1.6522	0.0000	0.7030	1.0259	1.0597
46	1301	1.0157	1.4923	0.0000	0.8500	0.8510	1.2161
45	1301	1.8667	1.6510	0.0000	0.7053	1.0205	1.0687
46	1302	1.0510	1.4931	0.0000	0.8305	0.8437	1.2203
45	1302	1.8947	1.6493	0.0000	0.7060	1.0146	1.0763
46	1303	1.0854	1.4969	0.0000	0.8100	0.8378	1.2232
45	1303	1.9232	1.6462	0.0000	0.7062	1.0082	1.0834
46	1304	1.1155	1.5010	0.0000	0.7878	0.8358	1.2240
45	1304	1.9513	1.6413	0.0000	0.7063	1.0023	1.0881
46	1305	1.1440	1.5050	0.0000	0.7708	0.8355	1.2244
45	1305	1.9795	1.6354	0.0000	0.7073	0.9969	1.0915
46	1306	1.1741	1.5084	0.0000	0.7492	0.8339	1.2239
45	1306	2.0080	1.6293	0.0000	0.7065	0.9894	1.0969
46	1307	1.2017	1.5099	0.0000	0.7395	0.8354	1.2225
45	1307	2.0371	1.6237	0.0000	0.6997	0.9814	1.1008
46	1308	1.2294	1.5100	0.0000	0.7320	0.8367	1.2208
45	1308	2.0661	1.6190	0.0000	0.6927	0.9737	1.1047
46	1309	1.2573	1.5085	0.0000	0.7373	0.8375	1.2194
45	1309	2.0948	1.6167	0.0000	0.6890	0.9649	1.1096
46	1310	1.2865	1.5062	0.0000	0.7493	0.8360	1.2195
45	1310	2.1225	1.6176	0.0000	0.6887	0.9575	1.1151
46	1311	1.3154	1.5027	0.0000	0.7630	0.8339	1.2209
45	1311	2.1493	1.6193	0.0000	0.6903	0.9514	1.1203
46	1312	1.3468	1.4988	0.0000	0.7830	0.8278	1.2243
45	1312	2.1746	1.6183	0.0000	0.6890	0.9451	1.1281
46	1313	1.3782	1.4942	0.0000	0.8075	0.8221	1.2282
45	1313	2.2003	1.6160	0.0000	0.6832	0.9376	1.1366
46	1314	1.4104	1.4890	0.0000	0.8315	0.8165	1.2321
46	1315	1.4437	1.4840	0.0000	0.8520	0.8113	1.2356
46	1316	1.4793	1.4802	0.0000	0.8693	0.8048	1.2392
46	1317	1.5149	1.4775	0.0000	0.8745	0.7978	1.2426
46	1318	1.5524	1.4779	0.0000	0.8720	0.7870	1.2500
46	1319	1.5899	1.4815	0.0000	0.8610	0.8065	1.2330
46	1320	1.6273	1.4890	0.0000	0.8455	0.7920	1.2417
46	1321	1.6631	1.4971	0.0000	0.8200	0.7777	1.2504
47	1322	0.8727	1.6741	0.0000	0.7930	0.8239	1.1924
46	1322	1.6966	1.5030	0.0000	0.7900	0.7685	1.2560
47	1323	0.9033	1.6792	0.0000	0.7753	0.8237	1.1899
46	1323	1.7270	1.5066	0.0000	0.7508	0.7653	1.2587
47	1324	0.9332	1.6831	0.0000	0.7610	0.8216	1.1893
46	1324	1.7548	1.5084	0.0000	0.7097	0.7666	1.2593
47	1325	0.9623	1.6858	0.0000	0.7498	0.8196	1.1891
46	1325	1.7819	1.5101	0.0000	0.6773	0.7713	1.2572
47	1326	0.9914	1.6877	0.0000	0.7430	0.8159	1.1901
46	1326	1.8073	1.5119	0.0000	0.6498	0.7795	1.2536
47	1327	1.0204	1.6882	0.0000	0.7390	0.8105	1.1928
46	1327	1.8309	1.5133	0.0000	0.6312	0.7916	1.2484
47	1328	1.0495	1.6874	0.0000	0.7360	0.8032	1.1974
46	1328	1.8527	1.5141	0.0000	0.6242	0.8075	1.2417
47	1329	1.0787	1.6858	0.0000	0.7372	0.7951	1.2036
46	1329	1.8738	1.5138	0.0000	0.6307	0.8240	1.2353
47	1330	1.1085	1.6826	0.0000	0.7392	0.7897	1.2083
46	1330	1.8982	1.5126	0.0000	0.6425	0.8366	1.2298
47	1331	1.1385	1.6780	0.0000	0.7425	0.7845	1.2134
46	1331	1.9230	1.5099	0.0000	0.6618	0.8486	1.2247
47	1332	1.1683	1.6724	0.0000	0.7453	0.7808	1.2180
46	1332	1.9491	1.5057	0.0000	0.6880	0.8587	1.2199
47	1333	1.1977	1.6657	0.0000	0.7490	0.7790	1.2224
46	1333	1.9767	1.5007	0.0000	0.7235	0.8655	1.2162
47	1334	1.2281	1.6590	0.0000	0.7508	0.7790	1.2258
46	1334	2.0071	1.4958	0.0000	0.7562	0.8678	1.2145
47	1335	1.2580	1.6520	0.0000	0.7458	0.7809	1.2285
46	1335	2.0389	1.4909	0.0000	0.7803	0.8677	1.2132
47	1336	1.2884	1.6476	0.0000	0.7380	0.7836	1.2294
46	1336	2.0720	1.4866	0.0000	0.8003	0.8656	1.2127
47	1337	1.3185	1.6470	0.0000	0.7328	0.7876	1.2278
46	1337	2.1061	1.4831	0.0000	0.8108	0.8626	1.2120
47	1338	1.3491	1.6493	0.0000	0.7285	0.7930	1.2235
46	1338	2.1421	1.4821	0.0000	0.8175	0.8567	1.2123
47	1339	1.3790	1.6526	0.0000	0.7200	0.7973	1.2191
46	1339	2.1763	1.4827	0.0000	0.8115	0.8521	1.2126
47	1340	1.4068	1.6552	0.0000	0.7143	0.8035	1.2138
46	1340	2.2103	1.4859	0.0000	0.8042	0.8471	1.2117
47	1341	1.4337	1.6571	0.0000	0.7072	0.8094	1.2089
46	1341	2.2431	1.4903	0.0000	0.8003	0.8416	1.2114
48	1342	0.6146	1.6442	0.0000	0.7190	0.8468	1.3704
47	1342	1.4614	1.6589	0.0000	0.7015	0.8120	1.2057
46	1342	2.2734	1.4940	0.0000	0.7903	0.8377	1.2123
48	1343	0.6411	1.6440	0.0000	0.7295	0.8480	1.3666
47	1343	1.4891	1.6606	0.0000	0.6970	0.8146	1.2029
46	1343	2.3037	1.4969	0.0000	0.7810	0.8316	1.2149
48	1344	0.6693	1.6427	0.0000	0.7445	0.8468	1.3639
47	1344	1.5161	1.6608	0.0000	0.6953	0.8156	1.2031
48	1345	0.6994	1.6407	0.0000	0.7605	0.8443	1.3614
47	1345	1.5437	1.6600	0.0000	0.7012	0.8169	1.2039
48	1346	0.7314	1.6377	0.0000	0.7775	0.8399	1.3565
47	1346	1.5713	1.6580	0.0000	0.7107	0.8208	1.2043
48	1347	0.7648	1.6337	0.0000	0.7960	0.8343	1.3533
47	1347	1.5991	1.6542	0.0000	0.7215	0.8231	1.2067
48	1348	0.7992	1.6286	0.0000	0.8147	0.8287	1.3483
47	1348	1.6279	1.6499	0.0000	0.7332	0.8266	1.2082
48	1349	0.8336	1.6232	0.0000	0.8258	0.8235	1.3427
47	1349	1.6571	1.6453	0.0000	0.7525	0.8315	1.2085
48	1350	0.8668	1.6182	0.0000	0.8282	0.8205	1.3366
47	1350	1.6873	1.6402	0.0000	0.7720	0.8361	1.2073
48	1351	0.8997	1.6158	0.0000	0.8225	0.8183	1.3297
47	1351	1.7180	1.6356	0.0000	0.7895	0.8412	1.2052
48	1352	0.9330	1.6173	0.0000	0.8128	0.8170	1.3220
47	1352	1.7500	1.6313	0.0000	0.8035	0.8464	1.2024
48	1353	0.9670	1.6216	0.0000	0.7985	0.8154	1.3161
47	1353	1.7824	1.6270	0.0000	0.8143	0.8524	1.1992
48	1354	0.9996	1.6249	0.0000	0.7835	0.8175	1.3081
47	1354	1.8171	1.6260	0.0000	0.8192	0.8560	1.1951
48	1355	1.0307	1.6269	0.0000	0.7727	0.8218	1.3001
47	1355	1.8525	1.6277	0.0000	0.8220	0.8603	1.1890
48	1356	1.0604	1.6280	0.0000	0.7632	0.8267	1.2925
47	1356	1.8871	1.6319	0.0000	0.8242	0.8648	1.1824
48	1357	1.0899	1.6293	0.0000	0.7545	0.8306	1.2872
