# PeTrack project: single_file_gender_female_1_8.pet
# raw trajectory file: single_file_gender_female_1_8.trc
# framerate: 25 fps
# z: can be 3d position or height of person (alternating or not)
# id frame x/m y/m z/m markerID
1 0 -3.28449 0.45479 1.63 704
1 1 -3.28356 0.455508 1.63 704
1 2 -3.28045 0.456204 1.63 704
1 3 -3.2763 0.455735 1.63 704
1 4 -3.27429 0.455557 1.63 704
1 5 -3.27021 0.455776 1.63 704
1 6 -3.26583 0.45613 1.63 704
1 7 -3.2625 0.456006 1.63 704
1 8 -3.25722 0.459275 1.63 704
1 9 -3.25184 0.461377 1.63 704
1 10 -3.24577 0.462664 1.63 704
1 11 -3.24071 0.472004 1.63 704
1 12 -3.23633 0.478196 1.63 704
1 13 -3.22743 0.483916 1.63 704
1 14 -3.21549 0.490579 1.63 704
1 15 -3.20252 0.496768 1.63 704
1 16 -3.19095 0.502739 1.63 704
1 17 -3.17723 0.509304 1.63 704
1 18 -3.16772 0.513684 1.63 704
1 19 -3.15761 0.517268 1.63 704
1 20 -3.14274 0.51761 1.63 704
1 21 -3.12811 0.5175 1.63 704
1 22 -3.10958 0.515083 1.63 704
1 23 -3.09183 0.511494 1.63 704
1 24 -3.07387 0.505068 1.63 704
1 25 -3.05315 0.496846 1.63 704
1 26 -3.02988 0.486255 1.63 704
1 27 -3.00991 0.474194 1.63 704
1 28 -2.98624 0.46168 1.63 704
1 29 -2.962 0.448213 1.63 704
1 30 -2.94083 0.433235 1.63 704
1 31 -2.91975 0.419521 1.63 704
1 32 -2.90053 0.404016 1.63 704
1 33 -2.88185 0.392651 1.63 704
1 34 -2.86229 0.381467 1.63 704
1 35 -2.84302 0.371682 1.63 704
1 36 -2.82526 0.364155 1.63 704
1 37 -2.80829 0.358279 1.63 704
1 38 -2.79161 0.35418 1.63 704
1 39 -2.7746 0.351963 1.63 704
1 40 -2.75838 0.349878 1.63 704
1 41 -2.74371 0.35814 1.63 704
1 42 -2.72406 0.359507 1.63 704
1 43 -2.70741 0.362168 1.63 704
1 44 -2.6863 0.359756 1.63 704
1 45 -2.67144 0.368806 1.63 704
1 46 -2.65344 0.373166 1.63 704
1 47 -2.6386 0.38272 1.63 704
1 48 -2.62127 0.395867 1.63 704
1 49 -2.60757 0.406636 1.63 704
1 50 -2.59454 0.418772 1.63 704
1 51 -2.57793 0.431482 1.63 704
1 52 -2.56495 0.439519 1.63 704
1 53 -2.54301 0.449893 1.63 704
1 54 -2.52433 0.46321 1.63 704
1 55 -2.50266 0.470886 1.63 704
1 56 -2.48072 0.484492 1.63 704
1 57 -2.45797 0.494158 1.63 704
1 58 -2.43699 0.50575 1.63 704
1 59 -2.41287 0.515266 1.63 704
1 60 -2.38608 0.524294 1.63 704
1 61 -2.3588 0.532922 1.63 704
1 62 -2.33058 0.546057 1.63 704
1 63 -2.30747 0.550347 1.63 704
1 64 -2.27521 0.561482 1.63 704
1 65 -2.24379 0.57 1.63 704
1 66 -2.21571 0.575303 1.63 704
1 67 -2.18765 0.58249 1.63 704
1 68 -2.16224 0.587314 1.63 704
1 69 -2.13727 0.591792 1.63 704
1 70 -2.11068 0.59606 1.63 704
1 71 -2.0864 0.602239 1.63 704
1 72 -2.05845 0.610781 1.63 704
1 73 -2.03036 0.617788 1.63 704
1 74 -2.00552 0.63019 1.63 704
1 75 -1.9796 0.640842 1.63 704
1 76 -1.95774 0.654138 1.63 704
1 77 -1.93443 0.673105 1.63 704
1 78 -1.91136 0.688035 1.63 704
1 79 -1.88265 0.703884 1.63 704
1 80 -1.86546 0.724934 1.63 704
1 81 -1.84176 0.742544 1.63 704
1 82 -1.82239 0.768896 1.63 704
1 83 -1.80363 0.794529 1.63 704
1 84 -1.78686 0.82354 1.63 704
1 85 -1.76978 0.849043 1.63 704
1 86 -1.75635 0.875999 1.63 704
1 87 -1.74235 0.904346 1.63 704
1 88 -1.72703 0.931096 1.63 704
1 89 -1.70631 0.958826 1.63 704
1 90 -1.69099 0.983386 1.63 704
1 91 -1.67265 1.00767 1.63 704
1 92 -1.65241 1.03562 1.63 704
1 93 -1.63542 1.06042 1.63 704
1 94 -1.61426 1.08429 1.63 704
1 95 -1.59248 1.11033 1.63 704
1 96 -1.57101 1.13588 1.63 704
1 97 -1.54985 1.15988 1.63 704
1 98 -1.52624 1.1851 1.63 704
1 99 -1.50316 1.21 1.63 704
1 100 -1.47193 1.23058 1.63 704
1 101 -1.45234 1.25584 1.63 704
1 102 -1.43129 1.2799 1.63 704
1 103 -1.413 1.30261 1.63 704
1 104 -1.39006 1.33015 1.63 704
1 105 -1.37152 1.35788 1.63 704
1 106 -1.36036 1.38689 1.63 704
1 107 -1.33493 1.41519 1.63 704
1 108 -1.32052 1.44361 1.63 704
1 109 -1.30899 1.47212 1.63 704
1 110 -1.29887 1.50071 1.63 704
1 111 -1.29412 1.53284 1.63 704
1 112 -1.28642 1.56263 1.63 704
1 113 -1.27466 1.59565 1.63 704
1 114 -1.27046 1.62753 1.63 704
1 115 -1.27138 1.66302 1.63 704
1 116 -1.26977 1.70039 1.63 704
1 117 -1.27365 1.73584 1.63 704
1 118 -1.27355 1.77525 1.63 704
1 119 -1.28295 1.8152 1.63 704
1 120 -1.28913 1.84987 1.63 704
1 121 -1.29093 1.88611 1.63 704
1 122 -1.2922 1.92292 1.63 704
1 123 -1.29411 1.95925 1.63 704
1 124 -1.28618 1.99848 1.63 704
1 125 -1.29281 2.03043 1.63 704
1 126 -1.28216 2.06335 1.63 704
1 127 -1.28653 2.10256 1.63 704
1 128 -1.28267 2.13891 1.63 704
1 129 -1.27792 2.17368 1.63 704
1 130 -1.27043 2.21249 1.63 704
1 131 -1.26394 2.25025 1.63 704
1 132 -1.25863 2.28888 1.63 704
1 133 -1.24711 2.32596 1.63 704
1 134 -1.24641 2.36878 1.63 704
1 135 -1.23355 2.40575 1.63 704
1 136 -1.23085 2.44475 1.63 704
1 137 -1.22379 2.48976 1.63 704
1 138 -1.22028 2.527 1.63 704
1 139 -1.21745 2.56481 1.63 704
1 140 -1.22024 2.60775 1.63 704
1 141 -1.22573 2.64716 1.63 704
1 142 -1.22304 2.68575 1.63 704
1 143 -1.22021 2.72411 1.63 704
1 144 -1.22337 2.75952 1.63 704
1 145 -1.22775 2.80022 1.63 704
1 146 -1.233 2.8379 1.63 704
1 147 -1.24039 2.87927 1.63 704
1 148 -1.24382 2.91795 1.63 704
1 149 -1.25039 2.95898 1.63 704
1 150 -1.25542 3.00011 1.63 704
1 151 -1.26379 3.02913 1.63 704
1 152 -1.26523 3.07622 1.63 704
1 153 -1.26547 3.11434 1.63 704
1 154 -1.2663 3.14846 1.63 704
1 155 -1.26952 3.18358 1.63 704
1 156 -1.26662 3.22197 1.63 704
1 157 -1.26554 3.2538 1.63 704
1 158 -1.26364 3.2925 1.63 704
1 159 -1.25757 3.33118 1.63 704
1 160 -1.25456 3.36839 1.63 704
1 161 -1.25281 3.39893 1.63 704
1 162 -1.24372 3.44914 1.63 704
1 163 -1.24027 3.48824 1.63 704
1 164 -1.23357 3.53355 1.63 704
1 165 -1.23166 3.57922 1.63 704
1 166 -1.23259 3.61817 1.63 704
1 167 -1.22967 3.65978 1.63 704
1 168 -1.22985 3.69985 1.63 704
1 169 -1.2304 3.74122 1.63 704
1 170 -1.23495 3.7788 1.63 704
1 171 -1.2365 3.81695 1.63 704
1 172 -1.24062 3.84812 1.63 704
1 173 -1.24932 3.88761 1.63 704
1 174 -1.25457 3.92256 1.63 704
1 175 -1.26629 3.95601 1.63 704
1 176 -1.27868 3.99665 1.63 704
1 177 -1.29001 4.03113 1.63 704
1 178 -1.3041 4.07205 1.63 704
1 179 -1.3191 4.11408 1.63 704
1 180 -1.33478 4.1518 1.63 704
1 181 -1.34971 4.19047 1.63 704
1 182 -1.36471 4.22932 1.63 704
1 183 -1.37793 4.26454 1.63 704
1 184 -1.39041 4.2961 1.63 704
1 185 -1.39762 4.32957 1.63 704
1 186 -1.41124 4.37069 1.63 704
1 187 -1.41868 4.40337 1.63 704
1 188 -1.4248 4.43855 1.63 704
1 189 -1.43421 4.46435 1.63 704
1 190 -1.44695 4.50609 1.63 704
1 191 -1.46138 4.54016 1.63 704
1 192 -1.46892 4.58052 1.63 704
1 193 -1.48591 4.62583 1.63 704
1 194 -1.4964 4.66596 1.63 704
1 195 -1.50655 4.70908 1.63 704
1 196 -1.52266 4.7488 1.63 704
1 197 -1.5356 4.79143 1.63 704
1 198 -1.55139 4.82845 1.63 704
1 199 -1.5745 4.86411 1.63 704
1 200 -1.58776 4.89659 1.63 704
1 201 -1.61443 4.92412 1.63 704
1 202 -1.62333 4.93977 1.63 704
1 203 -1.66098 4.98671 1.63 704
1 204 -1.67902 5.015 1.63 704
1 205 -1.70756 5.05044 1.63 704
1 206 -1.73809 5.0753 1.63 704
1 207 -1.74911 5.08757 1.63 704
1 208 -1.78036 5.10994 1.63 704
1 209 -1.80264 5.14904 1.63 704
1 210 -1.83542 5.17817 1.63 704
1 211 -1.86577 5.20828 1.63 704
1 212 -1.88769 5.22717 1.63 704
1 213 -1.9194 5.26245 1.63 704
1 214 -1.94184 5.28742 1.63 704
1 215 -1.96559 5.31757 1.63 704
1 216 -1.99241 5.34186 1.63 704
1 217 -2.01568 5.36405 1.63 704
1 218 -2.0472 5.39169 1.63 704
1 219 -2.07154 5.41506 1.63 704
1 220 -2.10322 5.44284 1.63 704
1 221 -2.13165 5.4726 1.63 704
1 222 -2.15146 5.49796 1.63 704
1 223 -2.17817 5.50937 1.63 704
1 224 -2.21671 5.54284 1.63 704
1 225 -2.25042 5.58027 1.63 704
1 226 -2.28262 5.60854 1.63 704
1 227 -2.31702 5.62048 1.63 704
1 228 -2.35879 5.65447 1.63 704
1 229 -2.38568 5.66096 1.63 704
1 230 -2.42246 5.6758 1.63 704
1 231 -2.45744 5.68883 1.63 704
1 232 -2.49509 5.69399 1.63 704
1 233 -2.53487 5.69839 1.63 704
1 234 -2.57284 5.69716 1.63 704
1 235 -2.61084 5.69596 1.63 704
1 236 -2.65338 5.68667 1.63 704
1 237 -2.69697 5.68137 1.63 704
1 238 -2.73476 5.6752 1.63 704
1 239 -2.78674 5.67984 1.63 704
1 240 -2.82618 5.67456 1.63 704
1 241 -2.8595 5.67001 1.63 704
1 242 -2.90297 5.66905 1.63 704
1 243 -2.9447 5.66801 1.63 704
1 244 -2.98387 5.66788 1.63 704
1 245 -3.01386 5.6652 1.63 704
1 246 -3.05182 5.6619 1.63 704
1 247 -3.08549 5.65216 1.63 704
1 248 -3.1222 5.64568 1.63 704
1 249 -3.15101 5.63262 1.63 704
1 250 -3.19261 5.62224 1.63 704
1 251 -3.22651 5.61462 1.63 704
1 252 -3.26244 5.60911 1.63 704
1 253 -3.30531 5.6019 1.63 704
1 254 -3.34204 5.60265 1.63 704
1 255 -3.38957 5.59671 1.63 704
1 256 -3.42735 5.59851 1.63 704
1 257 -3.46925 5.59022 1.63 704
1 258 -3.5096 5.5839 1.63 704
1 259 -3.54969 5.57551 1.63 704
1 260 -3.58817 5.56187 1.63 704
1 261 -3.62305 5.54811 1.63 704
1 262 -3.65084 5.5288 1.63 704
1 263 -3.68812 5.50693 1.63 704
1 264 -3.71636 5.48468 1.63 704
1 265 -3.74059 5.4493 1.63 704
1 266 -3.77858 5.42513 1.63 704
1 267 -3.80579 5.3968 1.63 704
1 268 -3.83518 5.36555 1.63 704
1 269 -3.86694 5.33857 1.63 704
1 270 -3.89264 5.30728 1.63 704
1 271 -3.9216 5.2863 1.63 704
1 272 -3.94974 5.25423 1.63 704
1 273 -3.98299 5.23209 1.63 704
1 274 -4.00393 5.20444 1.63 704
1 275 -4.02472 5.18004 1.63 704
1 276 -4.05118 5.15145 1.63 704
1 277 -4.07764 5.11978 1.63 704
1 278 -4.10321 5.09151 1.63 704
1 279 -4.12585 5.05731 1.63 704
1 280 -4.1393 5.01797 1.63 704
1 281 -4.1665 4.97964 1.63 704
1 282 -4.19595 4.94691 1.63 704
1 283 -4.22514 4.91421 1.63 704
1 284 -4.25511 4.88199 1.63 704
1 285 -4.29458 4.85415 1.63 704
1 286 -4.3108 4.8227 1.63 704
1 287 -4.34637 4.79372 1.63 704
1 288 -4.37117 4.76539 1.63 704
1 289 -4.39671 4.73166 1.63 704
1 290 -4.4139 4.69713 1.63 704
1 291 -4.43186 4.65913 1.63 704
1 292 -4.45297 4.61943 1.63 704
1 293 -4.46599 4.57595 1.63 704
1 294 -4.49077 4.53635 1.63 704
1 295 -4.48197 4.49055 1.63 704
1 296 -4.49926 4.44703 1.63 704
1 297 -4.4965 4.40313 1.63 704
1 298 -4.51537 4.36238 1.63 704
1 299 -4.52809 4.31758 1.63 704
1 300 -4.54217 4.28051 1.63 704
1 301 -4.55182 4.2398 1.63 704
1 302 -4.56775 4.20284 1.63 704
1 303 -4.57789 4.1641 1.63 704
1 304 -4.58453 4.12535 1.63 704
1 305 -4.59252 4.08491 1.63 704
1 306 -4.60601 4.04661 1.63 704
1 307 -4.60843 4.00441 1.63 704
1 308 -4.61085 3.95321 1.63 704
1 309 -4.61634 3.9096 1.63 704
1 310 -4.6074 3.86207 1.63 704
1 311 -4.61286 3.81876 1.63 704
1 312 -4.62619 3.77226 1.63 704
1 313 -4.63843 3.72946 1.63 704
1 314 -4.66941 3.68737 1.63 704
1 315 -4.68361 3.64671 1.63 704
1 316 -4.694 3.60427 1.63 704
1 317 -4.68876 3.5598 1.63 704
1 318 -4.71248 3.51744 1.63 704
1 319 -4.71345 3.48022 1.63 704
1 320 -4.73049 3.42885 1.63 704
1 321 -4.72983 3.38183 1.63 704
1 322 -4.72887 3.33595 1.63 704
1 323 -4.72346 3.2827 1.63 704
1 324 -4.71931 3.23245 1.63 704
1 325 -4.71176 3.18437 1.63 704
