# PeTrack project: single_file_gender_female_1_4.pet
# raw trajectory file: single_file_gender_female_1_4.trc
# framerate: 25 fps
# z: can be 3d position or height of person (alternating or not)
# id frame x/m y/m z/m markerID
1 0 -3.69586 0.235479 1.77 761
1 1 -3.69775 0.234319 1.77 761
1 2 -3.70257 0.245366 1.77 761
1 3 -3.70527 0.247175 1.77 761
1 4 -3.70732 0.24614 1.77 761
1 5 -3.70776 0.246089 1.77 761
1 6 -3.70988 0.247874 1.77 761
1 7 -3.71023 0.247102 1.77 761
1 8 -3.71051 0.249409 1.77 761
1 9 -3.71137 0.248533 1.77 761
1 10 -3.71167 0.248813 1.77 761
1 11 -3.71284 0.250681 1.77 761
1 12 -3.71297 0.250964 1.77 761
1 13 -3.71448 0.249727 1.77 761
1 14 -3.71413 0.25373 1.77 761
1 15 -3.71749 0.25605 1.77 761
1 16 -3.7126 0.25584 1.77 761
1 17 -3.71658 0.25531 1.77 761
1 18 -3.71504 0.255625 1.77 761
1 19 -3.71582 0.258135 1.77 761
1 20 -3.71803 0.257947 1.77 761
1 21 -3.71682 0.260701 1.77 761
1 22 -3.71785 0.261082 1.77 761
1 23 -3.71804 0.261594 1.77 761
1 24 -3.71826 0.26321 1.77 761
1 25 -3.7122 0.253865 1.77 761
1 26 -3.72022 0.263101 1.77 761
1 27 -3.71944 0.264182 1.77 761
1 28 -3.71998 0.2621 1.77 761
1 29 -3.71936 0.264053 1.77 761
1 30 -3.71846 0.26498 1.77 761
1 31 -3.7174 0.263315 1.77 761
1 32 -3.71746 0.265833 1.77 761
1 33 -3.71355 0.264385 1.77 761
1 34 -3.711 0.266423 1.77 761
1 35 -3.71297 0.266392 1.77 761
1 36 -3.70723 0.265129 1.77 761
1 37 -3.7025 0.266687 1.77 761
1 38 -3.69846 0.267014 1.77 761
1 39 -3.69083 0.265476 1.77 761
1 40 -3.68225 0.263328 1.77 761
1 41 -3.68059 0.261948 1.77 761
1 42 -3.66741 0.260281 1.77 761
1 43 -3.66532 0.255596 1.77 761
1 44 -3.6578 0.253062 1.77 761
1 45 -3.64391 0.240129 1.77 761
1 46 -3.638 0.238848 1.77 761
1 47 -3.63482 0.242908 1.77 761
1 48 -3.62967 0.239216 1.77 761
1 49 -3.62122 0.237842 1.77 761
1 50 -3.60654 0.227292 1.77 761
1 51 -3.60244 0.235647 1.77 761
1 52 -3.59397 0.23563 1.77 761
1 53 -3.58425 0.237439 1.77 761
1 54 -3.57001 0.231028 1.77 761
1 55 -3.56855 0.24449 1.77 761
1 56 -3.55119 0.242744 1.77 761
1 57 -3.54803 0.257251 1.77 761
1 58 -3.53935 0.267642 1.77 761
1 59 -3.53127 0.278269 1.77 761
1 60 -3.52237 0.291172 1.77 761
1 61 -3.51252 0.304016 1.77 761
1 62 -3.50381 0.317898 1.77 761
1 63 -3.49377 0.33335 1.77 761
1 64 -3.48396 0.342417 1.77 761
1 65 -3.47518 0.35332 1.77 761
1 66 -3.46076 0.364692 1.77 761
1 67 -3.45135 0.374895 1.77 761
1 68 -3.43894 0.385293 1.77 761
1 69 -3.42989 0.390503 1.77 761
1 70 -3.41116 0.383401 1.77 761
1 71 -3.41012 0.391672 1.77 761
1 72 -3.4003 0.384802 1.77 761
1 73 -3.39426 0.394099 1.77 761
1 74 -3.3771 0.378992 1.77 761
1 75 -3.37265 0.366404 1.77 761
1 76 -3.36706 0.362388 1.77 761
1 77 -3.35843 0.352134 1.77 761
1 78 -3.35204 0.339153 1.77 761
1 79 -3.34551 0.324749 1.77 761
1 80 -3.33926 0.304558 1.77 761
1 81 -3.33286 0.2879 1.77 761
1 82 -3.32219 0.267935 1.77 761
1 83 -3.3117 0.250056 1.77 761
1 84 -3.30338 0.231846 1.77 761
1 85 -3.29235 0.214041 1.77 761
1 86 -3.28231 0.195479 1.77 761
1 87 -3.27118 0.183401 1.77 761
1 88 -3.25887 0.166079 1.77 761
1 89 -3.25096 0.154177 1.77 761
1 90 -3.24887 0.148147 1.77 761
1 91 -3.2381 0.136741 1.77 761
1 92 -3.23502 0.127827 1.77 761
1 93 -3.21922 0.12252 1.77 761
1 94 -3.22172 0.114924 1.77 761
1 95 -3.21333 0.112705 1.77 761
1 96 -3.20685 0.112136 1.77 761
1 97 -3.20101 0.112849 1.77 761
1 98 -3.19668 0.114382 1.77 761
1 99 -3.18871 0.121802 1.77 761
1 100 -3.18556 0.126931 1.77 761
1 101 -3.17986 0.137551 1.77 761
1 102 -3.17308 0.146619 1.77 761
1 103 -3.16772 0.160286 1.77 761
1 104 -3.16154 0.174658 1.77 761
1 105 -3.15384 0.18804 1.77 761
1 106 -3.15215 0.20116 1.77 761
1 107 -3.14156 0.227122 1.77 761
1 108 -3.13347 0.244827 1.77 761
1 109 -3.12304 0.259912 1.77 761
1 110 -3.11335 0.273459 1.77 761
1 111 -3.10443 0.285815 1.77 761
1 112 -3.09517 0.294907 1.77 761
1 113 -3.08682 0.300161 1.77 761
1 114 -3.07875 0.303469 1.77 761
1 115 -3.06789 0.304275 1.77 761
1 116 -3.05946 0.302461 1.77 761
1 117 -3.04507 0.29481 1.77 761
1 118 -3.02949 0.283694 1.77 761
1 119 -3.02491 0.278833 1.77 761
1 120 -3.01242 0.266147 1.77 761
1 121 -2.9992 0.24811 1.77 761
1 122 -2.99469 0.238232 1.77 761
1 123 -2.97646 0.228271 1.77 761
1 124 -2.96668 0.214763 1.77 761
1 125 -2.95135 0.205479 1.77 761
1 126 -2.94419 0.20103 1.77 761
1 127 -2.92898 0.188955 1.77 761
1 128 -2.91382 0.18041 1.77 761
1 129 -2.90919 0.18094 1.77 761
1 130 -2.89944 0.178965 1.77 761
1 131 -2.89153 0.177866 1.77 761
1 132 -2.88294 0.179575 1.77 761
1 133 -2.87856 0.181238 1.77 761
1 134 -2.86842 0.178459 1.77 761
1 135 -2.86728 0.192356 1.77 761
1 136 -2.86337 0.200164 1.77 761
1 137 -2.86103 0.210728 1.77 761
1 138 -2.85734 0.223896 1.77 761
1 139 -2.85686 0.236763 1.77 761
1 140 -2.85451 0.253796 1.77 761
1 141 -2.85208 0.270374 1.77 761
1 142 -2.85063 0.28593 1.77 761
1 143 -2.8449 0.301855 1.77 761
1 144 -2.83841 0.317988 1.77 761
1 145 -2.83145 0.333018 1.77 761
1 146 -2.82475 0.344065 1.77 761
1 147 -2.81543 0.358108 1.77 761
1 148 -2.8071 0.365535 1.77 761
1 149 -2.80139 0.376428 1.77 761
1 150 -2.79606 0.382493 1.77 761
1 151 -2.79075 0.388147 1.77 761
1 152 -2.78345 0.387859 1.77 761
1 153 -2.77546 0.388291 1.77 761
1 154 -2.76762 0.387644 1.77 761
1 155 -2.75848 0.385457 1.77 761
1 156 -2.74704 0.381448 1.77 761
1 157 -2.73405 0.373589 1.77 761
1 158 -2.7227 0.36522 1.77 761
1 159 -2.70931 0.353713 1.77 761
1 160 -2.6951 0.343455 1.77 761
1 161 -2.68088 0.333003 1.77 761
1 162 -2.66452 0.319253 1.77 761
1 163 -2.6483 0.309607 1.77 761
1 164 -2.63107 0.300488 1.77 761
1 165 -2.61382 0.293416 1.77 761
1 166 -2.59867 0.287363 1.77 761
1 167 -2.58402 0.283093 1.77 761
1 168 -2.56927 0.279668 1.77 761
1 169 -2.5555 0.277229 1.77 761
1 170 -2.54491 0.275366 1.77 761
1 171 -2.53539 0.276672 1.77 761
1 172 -2.52664 0.278611 1.77 761
1 173 -2.52081 0.281809 1.77 761
1 174 -2.51727 0.286907 1.77 761
1 175 -2.516 0.30167 1.77 761
1 176 -2.5108 0.307927 1.77 761
1 177 -2.51586 0.315557 1.77 761
1 178 -2.51834 0.327515 1.77 761
1 179 -2.51663 0.349346 1.77 761
1 180 -2.51468 0.36292 1.77 761
1 181 -2.51118 0.375029 1.77 761
1 182 -2.50952 0.391462 1.77 761
1 183 -2.5088 0.40406 1.77 761
1 184 -2.50549 0.418845 1.77 761
1 185 -2.49776 0.429019 1.77 761
1 186 -2.48899 0.441291 1.77 761
1 187 -2.48329 0.455823 1.77 761
1 188 -2.47488 0.459639 1.77 761
1 189 -2.46466 0.465662 1.77 761
1 190 -2.4543 0.468579 1.77 761
1 191 -2.44276 0.472585 1.77 761
1 192 -2.43373 0.473223 1.77 761
1 193 -2.42003 0.474956 1.77 761
1 194 -2.4073 0.472937 1.77 761
1 195 -2.39056 0.470564 1.77 761
1 196 -2.37474 0.46594 1.77 761
1 197 -2.35449 0.461228 1.77 761
1 198 -2.33763 0.454729 1.77 761
1 199 -2.31654 0.450283 1.77 761
1 200 -2.29545 0.446409 1.77 761
1 201 -2.27562 0.44478 1.77 761
1 202 -2.25416 0.443875 1.77 761
1 203 -2.23134 0.438696 1.77 761
1 204 -2.20696 0.443896 1.77 761
1 205 -2.18812 0.449089 1.77 761
1 206 -2.17016 0.456211 1.77 761
1 207 -2.15309 0.465269 1.77 761
1 208 -2.13763 0.476904 1.77 761
1 209 -2.12368 0.489844 1.77 761
1 210 -2.11136 0.505381 1.77 761
1 211 -2.10443 0.519631 1.77 761
1 212 -2.09548 0.541694 1.77 761
1 213 -2.08841 0.561846 1.77 761
1 214 -2.08359 0.583989 1.77 761
1 215 -2.07927 0.604216 1.77 761
1 216 -2.07495 0.624485 1.77 761
1 217 -2.06902 0.645869 1.77 761
1 218 -2.06044 0.662512 1.77 761
1 219 -2.0538 0.679944 1.77 761
1 220 -2.04172 0.69342 1.77 761
1 221 -2.03193 0.709419 1.77 761
1 222 -2.0185 0.721768 1.77 761
1 223 -2.008 0.734021 1.77 761
1 224 -1.99487 0.744885 1.77 761
1 225 -1.97729 0.752808 1.77 761
1 226 -1.95929 0.762725 1.77 761
1 227 -1.94233 0.768669 1.77 761
1 228 -1.92205 0.776606 1.77 761
1 229 -1.90025 0.783215 1.77 761
1 230 -1.87832 0.788496 1.77 761
1 231 -1.85576 0.794441 1.77 761
1 232 -1.83533 0.801052 1.77 761
1 233 -1.81071 0.807659 1.77 761
1 234 -1.78916 0.812334 1.77 761
1 235 -1.76742 0.821208 1.77 761
1 236 -1.74939 0.830037 1.77 761
1 237 -1.73194 0.839998 1.77 761
1 238 -1.71666 0.852229 1.77 761
1 239 -1.70431 0.862612 1.77 761
1 240 -1.69786 0.866072 1.77 761
1 241 -1.68619 0.885823 1.77 761
1 242 -1.68303 0.889561 1.77 761
1 243 -1.67631 0.910979 1.77 761
1 244 -1.6745 0.92439 1.77 761
1 245 -1.67443 0.938628 1.77 761
1 246 -1.67742 0.955159 1.77 761
1 247 -1.68204 0.971135 1.77 761
1 248 -1.68612 0.986372 1.77 761
1 249 -1.69132 1.00315 1.77 761
1 250 -1.69475 1.02056 1.77 761
1 251 -1.70039 1.0393 1.77 761
1 252 -1.70209 1.05526 1.77 761
1 253 -1.70279 1.07126 1.77 761
1 254 -1.70263 1.08471 1.77 761
1 255 -1.70053 1.09825 1.77 761
1 256 -1.69725 1.11154 1.77 761
1 257 -1.69396 1.11831 1.77 761
1 258 -1.6889 1.12571 1.77 761
1 259 -1.68318 1.1345 1.77 761
1 260 -1.67726 1.13867 1.77 761
1 261 -1.66703 1.14051 1.77 761
1 262 -1.65728 1.14304 1.77 761
1 263 -1.64697 1.14546 1.77 761
1 264 -1.6355 1.14732 1.77 761
1 265 -1.62226 1.14835 1.77 761
1 266 -1.61069 1.14884 1.77 761
1 267 -1.59605 1.14987 1.77 761
1 268 -1.57882 1.14835 1.77 761
1 269 -1.56286 1.15068 1.77 761
1 270 -1.55021 1.1517 1.77 761
1 271 -1.53488 1.1537 1.77 761
1 272 -1.52699 1.16131 1.77 761
1 273 -1.51635 1.16458 1.77 761
1 274 -1.5076 1.17015 1.77 761
1 275 -1.4952 1.17555 1.77 761
1 276 -1.48873 1.18308 1.77 761
1 277 -1.48407 1.1891 1.77 761
1 278 -1.47894 1.19732 1.77 761
1 279 -1.4793 1.2058 1.77 761
1 280 -1.48075 1.21557 1.77 761
1 281 -1.48209 1.22813 1.77 761
1 282 -1.48598 1.2395 1.77 761
1 283 -1.4951 1.25302 1.77 761
1 284 -1.50051 1.26552 1.77 761
1 285 -1.51174 1.28326 1.77 761
1 286 -1.51909 1.29875 1.77 761
1 287 -1.52689 1.3146 1.77 761
1 288 -1.53239 1.33035 1.77 761
1 289 -1.53697 1.34569 1.77 761
1 290 -1.54081 1.36282 1.77 761
1 291 -1.54346 1.3783 1.77 761
1 292 -1.54427 1.39367 1.77 761
1 293 -1.54423 1.40771 1.77 761
1 294 -1.54512 1.42367 1.77 761
1 295 -1.5405 1.43611 1.77 761
1 296 -1.53663 1.4484 1.77 761
1 297 -1.53178 1.46058 1.77 761
1 298 -1.52465 1.47196 1.77 761
1 299 -1.51695 1.4842 1.77 761
1 300 -1.50821 1.49615 1.77 761
1 301 -1.49423 1.5061 1.77 761
1 302 -1.48769 1.51623 1.77 761
1 303 -1.47695 1.52972 1.77 761
1 304 -1.45889 1.53843 1.77 761
1 305 -1.45363 1.55161 1.77 761
1 306 -1.44199 1.56304 1.77 761
1 307 -1.42058 1.57081 1.77 761
1 308 -1.41854 1.58647 1.77 761
1 309 -1.41232 1.59885 1.77 761
1 310 -1.40431 1.61207 1.77 761
1 311 -1.40327 1.62624 1.77 761
1 312 -1.40033 1.63851 1.77 761
1 313 -1.39916 1.65067 1.77 761
1 314 -1.39569 1.66218 1.77 761
1 315 -1.39374 1.678 1.77 761
1 316 -1.40442 1.69372 1.77 761
1 317 -1.40979 1.70554 1.77 761
1 318 -1.41643 1.72006 1.77 761
1 319 -1.42599 1.73463 1.77 761
