#id	fr	x	y	z
1	0	3.0113	1.6064	0.0000
1	1	3.0127	1.6055	0.0000
1	2	3.0141	1.6049	0.0000
1	3	3.0154	1.6040	0.0000
1	4	3.0166	1.6033	0.0000
1	5	3.0173	1.6027	0.0000
1	6	3.0185	1.6019	0.0000
1	7	3.0198	1.6010	0.0000
1	8	3.0221	1.5992	0.0000
1	9	3.0268	1.5978	0.0000
1	10	3.0335	1.5961	0.0000
1	11	3.0426	1.5956	0.0000
1	12	3.0532	1.5946	0.0000
1	13	3.0667	1.5928	0.0000
1	14	3.0818	1.5904	0.0000
1	15	3.0997	1.5879	0.0000
1	16	3.1201	1.5849	0.0000
2	0	2.1355	1.6239	0.0000
2	1	2.1378	1.6246	0.0000
2	2	2.1394	1.6251	0.0000
2	3	2.1414	1.6259	0.0000
2	4	2.1430	1.6263	0.0000
2	5	2.1449	1.6268	0.0000
2	6	2.1466	1.6273	0.0000
2	7	2.1488	1.6281	0.0000
2	8	2.1511	1.6283	0.0000
2	9	2.1537	1.6284	0.0000
2	10	2.1560	1.6284	0.0000
2	11	2.1593	1.6287	0.0000
2	12	2.1630	1.6285	0.0000
2	13	2.1683	1.6276	0.0000
2	14	2.1746	1.6256	0.0000
2	15	2.1816	1.6230	0.0000
2	16	2.1891	1.6199	0.0000
2	17	2.1965	1.6179	0.0000
2	18	2.2037	1.6166	0.0000
2	19	2.2121	1.6153	0.0000
2	20	2.2217	1.6136	0.0000
2	21	2.2329	1.6121	0.0000
2	22	2.2454	1.6104	0.0000
2	23	2.2592	1.6074	0.0000
2	24	2.2746	1.6037	0.0000
2	25	2.2921	1.5998	0.0000
2	26	2.3110	1.5949	0.0000
2	27	2.3311	1.5887	0.0000
2	28	2.3526	1.5823	0.0000
2	29	2.3755	1.5762	0.0000
2	30	2.4000	1.5711	0.0000
2	31	2.4266	1.5674	0.0000
2	32	2.4548	1.5662	0.0000
2	33	2.4863	1.5677	0.0000
2	34	2.5194	1.5713	0.0000
2	35	2.5535	1.5767	0.0000
2	36	2.5879	1.5829	0.0000
2	37	2.6213	1.5872	0.0000
2	38	2.6534	1.5900	0.0000
2	39	2.6862	1.5915	0.0000
2	40	2.7185	1.5925	0.0000
2	41	2.7502	1.5923	0.0000
2	42	2.7816	1.5911	0.0000
2	43	2.8130	1.5882	0.0000
2	44	2.8443	1.5841	0.0000
2	45	2.8770	1.5786	0.0000
2	46	2.9103	1.5720	0.0000
2	47	2.9449	1.5652	0.0000
2	48	2.9816	1.5588	0.0000
2	49	3.0188	1.5541	0.0000
2	50	3.0576	1.5533	0.0000
2	51	3.0978	1.5558	0.0000
2	52	3.1366	1.5606	0.0000
3	0	1.2439	1.6363	0.0000
3	1	1.2513	1.6362	0.0000
3	2	1.2588	1.6366	0.0000
3	3	1.2647	1.6377	0.0000
3	4	1.2744	1.6390	0.0000
3	5	1.2821	1.6407	0.0000
3	6	1.2919	1.6430	0.0000
3	7	1.3083	1.6466	0.0000
3	8	1.3181	1.6516	0.0000
3	9	1.3279	1.6596	0.0000
3	10	1.3362	1.6689	0.0000
3	11	1.3441	1.6783	0.0000
3	12	1.3539	1.6864	0.0000
3	13	1.3640	1.6930	0.0000
3	14	1.3743	1.6975	0.0000
3	15	1.3857	1.7007	0.0000
3	16	1.3982	1.7027	0.0000
3	17	1.4116	1.7043	0.0000
3	18	1.4245	1.7055	0.0000
3	19	1.4379	1.7066	0.0000
3	20	1.4516	1.7072	0.0000
3	21	1.4656	1.7077	0.0000
3	22	1.4792	1.7079	0.0000
3	23	1.4932	1.7064	0.0000
3	24	1.5080	1.7048	0.0000
3	25	1.5229	1.7030	0.0000
3	26	1.5378	1.7007	0.0000
3	27	1.5528	1.6981	0.0000
3	28	1.5701	1.6958	0.0000
3	29	1.5867	1.6926	0.0000
3	30	1.6042	1.6885	0.0000
3	31	1.6223	1.6847	0.0000
3	32	1.6407	1.6817	0.0000
3	33	1.6585	1.6802	0.0000
3	34	1.6770	1.6798	0.0000
3	35	1.6928	1.6783	0.0000
3	36	1.7103	1.6761	0.0000
3	37	1.7274	1.6735	0.0000
3	38	1.7456	1.6710	0.0000
3	39	1.7646	1.6684	0.0000
3	40	1.7826	1.6651	0.0000
3	41	1.8068	1.6612	0.0000
3	42	1.8307	1.6569	0.0000
3	43	1.8559	1.6523	0.0000
3	44	1.8831	1.6474	0.0000
3	45	1.9123	1.6426	0.0000
3	46	1.9450	1.6391	0.0000
3	47	1.9788	1.6377	0.0000
3	48	2.0138	1.6396	0.0000
3	49	2.0499	1.6455	0.0000
3	50	2.0890	1.6546	0.0000
3	51	2.1278	1.6629	0.0000
3	52	2.1662	1.6692	0.0000
3	53	2.2045	1.6731	0.0000
3	54	2.2439	1.6755	0.0000
3	55	2.2840	1.6761	0.0000
3	56	2.3252	1.6747	0.0000
3	57	2.3661	1.6709	0.0000
3	58	2.4069	1.6648	0.0000
3	59	2.4475	1.6569	0.0000
3	60	2.4868	1.6482	0.0000
3	61	2.5265	1.6391	0.0000
3	62	2.5648	1.6309	0.0000
3	63	2.6038	1.6247	0.0000
3	64	2.6417	1.6214	0.0000
3	65	2.6791	1.6230	0.0000
3	66	2.7146	1.6285	0.0000
3	67	2.7476	1.6355	0.0000
3	68	2.7802	1.6420	0.0000
3	69	2.8133	1.6467	0.0000
3	70	2.8450	1.6496	0.0000
3	71	2.8775	1.6502	0.0000
3	72	2.9100	1.6489	0.0000
3	73	2.9442	1.6457	0.0000
3	74	2.9786	1.6408	0.0000
3	75	3.0154	1.6342	0.0000
3	76	3.0530	1.6268	0.0000
3	77	3.0922	1.6192	0.0000
3	78	3.1341	1.6134	0.0000
4	0	0.4165	1.7574	0.0000
4	1	0.4234	1.7577	0.0000
4	2	0.4310	1.7575	0.0000
4	3	0.4383	1.7575	0.0000
4	4	0.4472	1.7567	0.0000
4	5	0.4551	1.7559	0.0000
4	6	0.4661	1.7546	0.0000
4	7	0.4788	1.7525	0.0000
4	8	0.4928	1.7499	0.0000
4	9	0.5077	1.7470	0.0000
4	10	0.5243	1.7432	0.0000
4	11	0.5419	1.7394	0.0000
4	12	0.5610	1.7354	0.0000
4	13	0.5814	1.7314	0.0000
4	14	0.6026	1.7274	0.0000
4	15	0.6255	1.7233	0.0000
4	16	0.6489	1.7188	0.0000
4	17	0.6736	1.7139	0.0000
4	18	0.6980	1.7089	0.0000
4	19	0.7236	1.7053	0.0000
4	20	0.7494	1.7038	0.0000
4	21	0.7756	1.7055	0.0000
4	22	0.8005	1.7091	0.0000
4	23	0.8228	1.7126	0.0000
4	24	0.8403	1.7168	0.0000
4	25	0.8575	1.7202	0.0000
4	26	0.8722	1.7225	0.0000
4	27	0.8854	1.7232	0.0000
4	28	0.8979	1.7239	0.0000
4	29	0.9090	1.7241	0.0000
4	30	0.9195	1.7244	0.0000
4	31	0.9292	1.7251	0.0000
4	32	0.9383	1.7256	0.0000
4	33	0.9477	1.7260	0.0000
4	34	0.9580	1.7259	0.0000
4	35	0.9685	1.7257	0.0000
