#id	fr	x	y	z
1	0	2.8121	1.5655	0.0000
1	1	2.8118	1.5629	0.0000
1	2	2.8118	1.5602	0.0000
1	3	2.8123	1.5576	0.0000
1	4	2.8123	1.5549	0.0000
1	5	2.8136	1.5526	0.0000
1	6	2.8152	1.5497	0.0000
1	7	2.8175	1.5471	0.0000
1	8	2.8208	1.5442	0.0000
1	9	2.8239	1.5417	0.0000
1	10	2.8281	1.5394	0.0000
1	11	2.8333	1.5372	0.0000
1	12	2.8399	1.5359	0.0000
1	13	2.8483	1.5356	0.0000
1	14	2.8585	1.5350	0.0000
1	15	2.8697	1.5349	0.0000
1	16	2.8827	1.5349	0.0000
1	17	2.8968	1.5346	0.0000
1	18	2.9133	1.5343	0.0000
1	19	2.9315	1.5341	0.0000
1	20	2.9519	1.5357	0.0000
1	21	2.9757	1.5390	0.0000
1	22	3.0011	1.5450	0.0000
1	23	3.0278	1.5524	0.0000
1	24	3.0550	1.5593	0.0000
1	25	3.0819	1.5644	0.0000
1	26	3.1083	1.5671	0.0000
1	27	3.1341	1.5679	0.0000
2	0	2.3903	1.5586	0.0000
2	1	2.3894	1.5565	0.0000
2	2	2.3893	1.5543	0.0000
2	3	2.3898	1.5523	0.0000
2	4	2.3909	1.5503	0.0000
2	5	2.3924	1.5485	0.0000
2	6	2.3944	1.5467	0.0000
2	7	2.3967	1.5453	0.0000
2	8	2.3980	1.5426	0.0000
2	9	2.4001	1.5404	0.0000
2	10	2.4018	1.5382	0.0000
2	11	2.4042	1.5358	0.0000
2	12	2.4066	1.5336	0.0000
2	13	2.4093	1.5312	0.0000
2	14	2.4124	1.5286	0.0000
2	15	2.4162	1.5256	0.0000
2	16	2.4222	1.5222	0.0000
2	17	2.4302	1.5189	0.0000
2	18	2.4388	1.5159	0.0000
2	19	2.4466	1.5132	0.0000
2	20	2.4527	1.5117	0.0000
2	21	2.4579	1.5104	0.0000
2	22	2.4639	1.5101	0.0000
2	23	2.4702	1.5100	0.0000
2	24	2.4773	1.5102	0.0000
2	25	2.4850	1.5108	0.0000
2	26	2.4924	1.5113	0.0000
2	27	2.4997	1.5115	0.0000
2	28	2.5065	1.5109	0.0000
2	29	2.5160	1.5114	0.0000
2	30	2.5274	1.5118	0.0000
2	31	2.5419	1.5133	0.0000
2	32	2.5583	1.5147	0.0000
2	33	2.5764	1.5167	0.0000
2	34	2.5968	1.5200	0.0000
2	35	2.6183	1.5240	0.0000
2	36	2.6410	1.5292	0.0000
2	37	2.6643	1.5355	0.0000
2	38	2.6877	1.5426	0.0000
2	39	2.7103	1.5488	0.0000
2	40	2.7319	1.5536	0.0000
2	41	2.7540	1.5570	0.0000
2	42	2.7776	1.5594	0.0000
2	43	2.8010	1.5613	0.0000
2	44	2.8225	1.5622	0.0000
2	45	2.8422	1.5623	0.0000
2	46	2.8604	1.5614	0.0000
2	47	2.8782	1.5600	0.0000
2	48	2.8962	1.5580	0.0000
2	49	2.9146	1.5558	0.0000
2	50	2.9339	1.5536	0.0000
2	51	2.9549	1.5509	0.0000
2	52	2.9784	1.5480	0.0000
2	53	3.0034	1.5444	0.0000
2	54	3.0300	1.5405	0.0000
2	55	3.0573	1.5366	0.0000
2	56	3.0770	1.5325	0.0000
2	57	3.0902	1.5300	0.0000
2	58	3.1001	1.5304	0.0000
2	59	3.1099	1.5298	0.0000
2	60	3.1203	1.5285	0.0000
2	61	3.1327	1.5259	0.0000
3	0	1.0623	1.6018	0.0000
3	1	1.0763	1.6020	0.0000
3	2	1.0923	1.6014	0.0000
3	3	1.1090	1.6005	0.0000
3	4	1.1267	1.5992	0.0000
3	5	1.1447	1.5974	0.0000
3	6	1.1640	1.5950	0.0000
3	7	1.1846	1.5927	0.0000
3	8	1.2055	1.5926	0.0000
