#id	fr	x	y	z	velocity	headway	rho
3	0	0.7414	1.8061	0.0000	0.1263	0.9120	1.3002
2	0	1.6534	1.7485	0.0000	-0.0052	1.0368	1.0263
3	1	0.7523	1.8042	0.0000	0.1205	0.9013	1.3018
2	1	1.6536	1.7488	0.0000	-0.0067	1.0464	1.0269
3	2	0.7633	1.8030	0.0000	0.1173	0.8901	1.3035
2	2	1.6534	1.7485	0.0000	-0.0080	1.0522	1.0297
3	3	0.7737	1.8016	0.0000	0.1150	0.8793	1.3053
2	3	1.6530	1.7485	0.0000	-0.0090	1.0506	1.0363
3	4	0.7832	1.8000	0.0000	0.1190	0.8692	1.3076
2	4	1.6524	1.7485	0.0000	-0.0065	1.0463	1.0441
3	5	0.7919	1.7991	0.0000	0.2530	0.8594	1.3103
2	5	1.6513	1.7488	0.0000	-0.0080	1.0454	1.0500
3	6	0.8005	1.7979	0.0000	0.2563	0.8504	1.3133
2	6	1.6509	1.7491	0.0000	-0.0070	1.0494	1.0527
3	7	0.8102	1.7976	0.0000	0.2618	0.8400	1.3163
2	7	1.6502	1.7498	0.0000	-0.0045	1.0683	1.0481
3	8	0.8197	1.7965	0.0000	0.2687	0.8297	1.3196
2	8	1.6494	1.7507	0.0000	0.0012	1.0775	1.0487
3	9	0.8308	1.7954	0.0000	0.2768	0.8190	1.3223
2	9	1.6498	1.7511	0.0000	0.0075	1.0883	1.0486
3	10	0.8426	1.7946	0.0000	0.2873	0.8076	1.3256
2	10	1.6502	1.7513	0.0000	0.0165	1.1001	1.0484
3	11	0.8548	1.7933	0.0000	0.2980	0.7960	1.3286
2	11	1.6508	1.7513	0.0000	0.0222	1.1122	1.0481
3	12	0.8680	1.7921	0.0000	0.3040	0.7836	1.3324
2	12	1.6516	1.7515	0.0000	0.0300	1.1243	1.0483
3	13	0.8812	1.7908	0.0000	0.3080	0.7723	1.3349
2	13	1.6535	1.7515	0.0000	0.0395	1.1351	1.0485
3	14	0.8939	1.7886	0.0000	0.3063	0.7615	1.3373
2	14	1.6554	1.7515	0.0000	0.0460	1.1428	1.0503
3	15	0.9068	1.7861	0.0000	0.3012	0.7511	1.3391
2	15	1.6579	1.7513	0.0000	0.0525	1.1618	1.0455
3	16	0.9197	1.7830	0.0000	0.2925	0.7401	1.3408
2	16	1.6598	1.7511	0.0000	0.0607	1.1884	1.0371
3	17	0.9318	1.7800	0.0000	0.2802	0.7304	1.3415
2	17	1.6622	1.7511	0.0000	0.0712	1.2127	1.0293
3	18	0.9429	1.7766	0.0000	0.2675	0.7223	1.3410
2	18	1.6652	1.7511	0.0000	0.0775	1.2319	1.0234
3	19	0.9533	1.7747	0.0000	0.2585	0.7149	1.3402
2	19	1.6682	1.7513	0.0000	0.0860	1.2475	1.0192
3	20	0.9631	1.7740	0.0000	0.2515	0.7081	1.3397
2	20	1.6712	1.7506	0.0000	0.0923	1.2597	1.0164
3	21	0.9718	1.7738	0.0000	0.2450	0.7033	1.3381
2	21	1.6751	1.7499	0.0000	0.1040	1.2697	1.0137
3	22	0.9801	1.7737	0.0000	0.2418	0.7000	1.3355
2	22	1.6801	1.7504	0.0000	0.1175	1.2784	1.0109
3	23	0.9882	1.7728	0.0000	0.2438	0.6963	1.3338
2	23	1.6845	1.7505	0.0000	0.1358	1.2885	1.0077
3	24	0.9973	1.7719	0.0000	0.2480	0.6925	1.3318
2	24	1.6898	1.7508	0.0000	0.1533	1.2984	1.0046
3	25	1.0074	1.7710	0.0000	0.2538	0.6874	1.3302
2	25	1.6948	1.7509	0.0000	0.1722	1.3089	1.0019
3	26	1.0177	1.7689	0.0000	0.2598	0.6837	1.3275
2	26	1.7014	1.7503	0.0000	0.1908	1.3189	0.9987
3	27	1.0285	1.7666	0.0000	0.2637	0.6807	1.3236
2	27	1.7092	1.7490	0.0000	0.2058	1.3284	0.9955
3	28	1.0404	1.7634	0.0000	0.2658	0.6791	1.3184
2	28	1.7195	1.7471	0.0000	0.2247	1.3356	0.9927
3	29	1.0525	1.7599	0.0000	0.2628	0.6770	1.3130
2	29	1.7295	1.7452	0.0000	0.2438	1.3441	0.9896
3	30	1.0646	1.7565	0.0000	0.2547	0.6755	1.3074
2	30	1.7401	1.7432	0.0000	0.2618	1.3517	0.9866
3	31	1.0757	1.7537	0.0000	0.2447	0.6757	1.3015
2	31	1.7514	1.7408	0.0000	0.2772	1.3583	0.9833
3	32	1.0856	1.7523	0.0000	0.2310	0.6768	1.2966
2	32	1.7624	1.7381	0.0000	0.2892	1.3646	0.9797
3	33	1.0945	1.7514	0.0000	0.2140	0.6799	1.2912
3	34	1.1024	1.7505	0.0000	0.1953	0.6849	1.2868
3	35	1.1093	1.7494	0.0000	0.1760	0.6902	1.2831
3	36	1.1156	1.7473	0.0000	0.1615	0.6967	1.2794
3	37	1.1209	1.7457	0.0000	0.1533	0.7040	1.2765
3	38	1.1260	1.7452	0.0000	0.1482	0.7128	1.2732
3	39	1.1306	1.7452	0.0000	0.1503	0.7232	1.2689
3	40	1.1350	1.7453	0.0000	0.1588	0.7342	1.2651
3	41	1.1403	1.7454	0.0000	0.1715	0.7457	1.2609
3	42	1.1469	1.7452	0.0000	0.1872	0.7572	1.2560
3	43	1.1538	1.7442	0.0000	0.2058	0.7671	1.2529
3	44	1.1625	1.7429	0.0000	0.2255	0.7759	1.2496
3	45	1.1728	1.7412	0.0000	0.2510	0.7817	1.2480
3	46	1.1842	1.7394	0.0000	0.2750	0.7855	1.2481
3	47	1.1958	1.7379	0.0000	0.3000	0.7889	1.2480
3	48	1.2083	1.7367	0.0000	0.3245	0.7911	1.2477
3	49	1.2208	1.7353	0.0000	0.3472	0.7928	1.2478
3	50	1.2354	1.7336	0.0000	0.3673	0.7924	1.2472
3	51	1.2503	1.7316	0.0000	0.3882	0.7922	1.2456
3	52	1.2669	1.7303	0.0000	0.4087	0.7895	1.2440
3	53	1.2836	1.7287	0.0000	0.4242	0.7884	1.2404
3	54	1.3014	1.7276	0.0000	0.4370	0.7861	1.2363
3	55	1.3197	1.7274	0.0000	0.4410	0.7837	1.2317
3	56	1.3395	1.7289	0.0000	0.4413	0.7802	1.2271
3	57	1.3593	1.7322	0.0000	0.4348	0.7777	1.2217
3	58	1.3780	1.7379	0.0000	0.4283	0.7772	1.2154
3	59	1.3956	1.7449	0.0000	0.4213	0.7789	1.2085
3	60	1.4118	1.7518	0.0000	0.4165	0.7841	1.2000
3	61	1.4268	1.7581	0.0000	0.4115	0.7918	1.1907
3	62	1.4408	1.7629	0.0000	0.4100	0.8021	1.1810
3	63	1.4549	1.7666	0.0000	0.4155	0.8139	1.1705
3	64	1.4699	1.7694	0.0000	0.4283	0.8261	1.1602
3	65	1.4863	1.7723	0.0000	0.4485	0.8382	1.1498
3	66	1.5041	1.7744	0.0000	0.4733	0.8509	1.1389
3	67	1.5233	1.7753	0.0000	0.5038	0.8632	1.1280
3	68	1.5442	1.7738	0.0000	0.5340	0.8758	1.1169
4	69	0.6467	1.5861	0.0000	0.4567	0.9202	1.2865
3	69	1.5669	1.7712	0.0000	0.5645	0.8881	1.1060
4	70	0.6651	1.5836	0.0000	0.4898	0.9261	1.2787
3	70	1.5912	1.7667	0.0000	0.5907	0.9005	1.0949
4	71	0.6851	1.5806	0.0000	0.5217	0.9310	1.2719
3	71	1.6161	1.7612	0.0000	0.6143	0.9115	1.0855
4	72	0.7069	1.5777	0.0000	0.5528	0.9354	1.2639
3	72	1.6423	1.7551	0.0000	0.6340	0.9205	1.0776
4	73	0.7302	1.5758	0.0000	0.5808	0.9383	1.2545
3	73	1.6685	1.7475	0.0000	0.6502	0.9278	1.0718
4	74	0.7548	1.5744	0.0000	0.6025	0.9409	1.2391
3	74	1.6957	1.7396	0.0000	0.6607	0.9318	1.0680
4	75	0.7809	1.5746	0.0000	0.6198	0.9417	1.2272
3	75	1.7226	1.7329	0.0000	0.6645	0.9342	1.0662
4	76	0.8076	1.5756	0.0000	0.6290	0.9422	1.2166
3	76	1.7498	1.7274	0.0000	0.6592	0.9357	1.0650
4	77	0.8345	1.5768	0.0000	0.6330	0.9424	1.2065
3	77	1.7769	1.7246	0.0000	0.6500	0.9361	1.0647
4	78	0.8616	1.5779	0.0000	0.6325	0.9427	1.1975
3	78	1.8043	1.7254	0.0000	0.6410	0.9354	1.0649
4	79	0.8877	1.5777	0.0000	0.6295	0.9435	1.1891
3	79	1.8312	1.7295	0.0000	0.6300	0.9325	1.0661
4	80	0.9130	1.5773	0.0000	0.6200	0.9440	1.1826
3	80	1.8570	1.7339	0.0000	0.6218	0.9309	1.0667
4	81	0.9367	1.5757	0.0000	0.6075	0.9431	1.1784
3	81	1.8798	1.7386	0.0000	0.6138	0.9321	1.0666
4	82	0.9601	1.5742	0.0000	0.5952	0.9422	1.1741
3	82	1.9023	1.7414	0.0000	0.6083	0.9336	1.0662
4	83	0.9832	1.5730	0.0000	0.5850	0.9417	1.1692
3	83	1.9249	1.7443	0.0000	0.6078	0.9354	1.0655
4	84	1.0066	1.5726	0.0000	0.5787	0.9411	1.1635
3	84	1.9477	1.7470	0.0000	0.6117	0.9391	1.0637
4	85	1.0289	1.5721	0.0000	0.5780	0.9424	1.1563
3	85	1.9713	1.7492	0.0000	0.6248	0.9409	1.0620
4	86	1.0506	1.5710	0.0000	0.5850	0.9447	1.1490
3	86	1.9953	1.7518	0.0000	0.6498	0.9436	1.0592
4	87	1.0726	1.5697	0.0000	0.5973	0.9476	1.1417
3	87	2.0202	1.7524	0.0000	0.6792	0.9469	1.0557
4	88	1.0956	1.5672	0.0000	0.6143	0.9518	1.1329
3	88	2.0474	1.7511	0.0000	0.7132	0.9487	1.0524
4	89	1.1192	1.5649	0.0000	0.6340	0.9567	1.1242
3	89	2.0759	1.7480	0.0000	0.7487	0.9516	1.0481
4	90	1.1442	1.5615	0.0000	0.6607	0.9627	1.1291
3	90	2.1069	1.7431	0.0000	0.7870	0.9531	1.0440
4	91	1.1707	1.5582	0.0000	0.6917	0.9690	1.1182
3	91	2.1397	1.7374	0.0000	0.8277	0.9511	1.0416
4	92	1.1990	1.5546	0.0000	0.7238	0.9750	1.1064
3	92	2.1740	1.7316	0.0000	0.8670	0.9466	1.0408
4	93	1.2289	1.5522	0.0000	0.7535	0.9813	1.0948
4	94	1.2602	1.5519	0.0000	0.7785	0.9870	1.0826
4	95	1.2932	1.5535	0.0000	0.7937	0.9929	1.0701
4	96	1.3273	1.5580	0.0000	0.8015	0.9991	1.0570
4	97	1.3621	1.5647	0.0000	0.8032	1.0049	1.0444
4	98	1.3970	1.5730	0.0000	0.7992	1.0083	1.0338
4	99	1.4306	1.5807	0.0000	0.7895	1.0102	1.0252
4	100	1.4617	1.5869	0.0000	0.7730	1.0134	1.0180
5	101	0.5316	1.5830	0.0000	0.4950	0.9597	1.3529
4	101	1.4913	1.5912	0.0000	0.7517	1.0171	1.0117
5	102	0.5532	1.5898	0.0000	0.5015	0.9671	1.3400
4	102	1.5203	1.5943	0.0000	0.7285	1.0205	1.0062
5	103	0.5738	1.5950	0.0000	0.5085	0.9748	1.3266
4	103	1.5486	1.5965	0.0000	0.7048	1.0238	1.0007
5	104	0.5931	1.5986	0.0000	0.5160	0.9829	1.3148
4	104	1.5760	1.5974	0.0000	0.6850	1.0268	0.9952
5	105	0.6125	1.6010	0.0000	0.5233	0.9899	1.3040
4	105	1.6024	1.5972	0.0000	0.6715	1.0314	0.9895
5	106	0.6322	1.6032	0.0000	0.5333	0.9958	1.2945
4	106	1.6280	1.5959	0.0000	0.6630	1.0370	0.9839
5	107	0.6526	1.6059	0.0000	0.5467	1.0009	1.2865
4	107	1.6535	1.5932	0.0000	0.6585	1.0432	0.9784
