ID	frame	x(m)	y(m)	z(m)	markerID
1	0	11.942438223863068	-0.3606468659827906	1.63	704
1	1	11.943349902317797	-0.36158135232991917	1.63	704
1	2	11.946970294155596	-0.36305567637290537	1.63	704
1	3	11.952269546350747	-0.36366136642600977	1.63	704
1	4	11.954822050495677	-0.3639975177516179	1.63	704
1	5	11.95982165651558	-0.36523239211287706	1.63	704
1	6	11.96516191758314	-0.36666015186934997	1.63	704
1	7	11.969353157405198	-0.36735534069797815	1.63	704
1	8	11.9749355191245	-0.37180492332938475	1.63	704
1	9	11.981040585813783	-0.37512968434863914	1.63	704
1	10	11.988294184880363	-0.37780494035073375	1.63	704
1	11	11.99188973785014	-0.38806241037205	1.63	704
1	12	11.99561830314055	-0.39509367548171137	1.63	704
1	13	12.005354514477064	-0.40267177537105336	1.63	704
1	14	12.018892057912844	-0.4117818870081895	1.63	704
1	15	12.03411316337206	-0.4205555741620528	1.63	704
1	16	12.047754827511444	-0.42873393373065505	1.63	704
1	17	12.064300345356266	-0.43781584018103903	1.63	704
1	18	12.0759564094516	-0.4438707986886312	1.63	704
1	19	12.088731192858859	-0.44918490352427676	1.63	704
1	20	12.10882228540123	-0.45200383151697854	1.63	704
1	21	12.1287704820625	-0.45416162375511604	1.63	704
1	22	12.154555308818972	-0.45438548298835046	1.63	704
1	23	12.179466346118526	-0.4530612960823768	1.63	704
1	24	12.205006950107812	-0.4486648005140279	1.63	704
1	25	12.234327432313602	-0.442432415880585	1.63	704
1	26	12.267007014290478	-0.43362927549821384	1.63	704
1	27	12.294863891827289	-0.42273085358752693	1.63	704
1	28	12.327167593146646	-0.4111498234249631	1.63	704
1	29	12.359624914668942	-0.3981554835487755	1.63	704
1	30	12.387385813340028	-0.3832018100245802	1.63	704
1	31	12.41441412241402	-0.36916373726342355	1.63	704
1	32	12.438394670106735	-0.35307216501610994	1.63	704
1	33	12.461375881112353	-0.3408759301345805	1.63	704
1	34	12.485039832483494	-0.32855294612723873	1.63	704
1	35	12.508043218438068	-0.31738098860777186	1.63	704
1	36	12.529071827872801	-0.30834358659714955	1.63	704
1	37	12.549067953786036	-0.3008161852656992	1.63	704
1	38	12.568741668644511	-0.2948915672537491	1.63	704
1	39	12.588932367583773	-0.2905997964657354	1.63	704
1	40	12.60806920065977	-0.2863476838709951	1.63	704
1	41	12.627133025624499	-0.29237566915585944	1.63	704
1	42	12.650959608502031	-0.29059926193598096	1.63	704
1	43	12.671421404008877	-0.29035138056775867	1.63	704
1	44	12.695993321891784	-0.28406015156742703	1.63	704
1	45	12.715802619032804	-0.2899731108408188	1.63	704
1	46	12.73826907605891	-0.29042789924329493	1.63	704
1	47	12.758464053351068	-0.2964134462842798	1.63	704
1	48	12.782866293780204	-0.3050738702110811	1.63	704
1	49	12.802495980376577	-0.3120729685831143	1.63	704
1	50	12.821982006733908	-0.3203771212919053	1.63	704
1	51	12.84620109119508	-0.32804160382257086	1.63	704
1	52	12.864626300659763	-0.33201826497443454	1.63	704
1	53	12.894766203898996	-0.3353105417822049	1.63	704
1	54	12.922374784260597	-0.3420074721161437	1.63	704
1	55	12.951375683413337	-0.3420113530324509	1.63	704
1	56	12.98337887326809	-0.347048191043122	1.63	704
1	57	13.014679671025604	-0.34763735854256006	1.63	704
1	58	13.044900102248427	-0.3502260494224392	1.63	704
1	59	13.077777331842611	-0.3491912947493008	1.63	704
1	60	13.113371929640484	-0.34604817388217923	1.63	704
1	61	13.149102421119835	-0.3417230805047424	1.63	704
1	62	13.188299852184546	-0.34031851824613457	1.63	704
1	63	13.216353104537	-0.332978048281275	1.63	704
1	64	13.25823852972138	-0.32653304520891036	1.63	704
1	65	13.297088686686813	-0.3174713646228837	1.63	704
1	66	13.329794894515205	-0.306822742185902	1.63	704
1	67	13.363247547811149	-0.2972228111769477	1.63	704
1	68	13.391944041103315	-0.2866820062083828	1.63	704
1	69	13.419520124864157	-0.2757165415519258	1.63	704
1	70	13.448036494597932	-0.26322619508443257	1.63	704
1	71	13.475288228109534	-0.253259446740018	1.63	704
1	72	13.507231937979737	-0.24242782335647184	1.63	704
1	73	13.53764438952205	-0.22981672219956062	1.63	704
1	74	13.568817246123364	-0.22292750481974477	1.63	704
1	75	13.59923582353893	-0.21351406934700523	1.63	704
1	76	13.627964280749108	-0.20833178898749383	1.63	704
1	77	13.66220000941381	-0.2057369471162811	1.63	704
1	78	13.69281136419821	-0.1998806218710818	1.63	704
1	79	13.728286697869207	-0.19004003207074205	1.63	704
1	80	13.758968593530376	-0.1915828045596828	1.63	704
1	81	13.791576127617795	-0.1854461807308001	1.63	704
1	82	13.82836698465005	-0.18765292392127364	1.63	704
1	83	13.864186328421553	-0.189163969248773	1.63	704
1	84	13.901758359180887	-0.1936082974693929	1.63	704
1	85	13.936514657505002	-0.19499241780360443	1.63	704
1	86	13.97032569883968	-0.19955938746152047	1.63	704
1	87	14.006018650506896	-0.2038036750786567	1.63	704
1	88	14.041162063808319	-0.20540006156860158	1.63	704
1	89	14.080488956240938	-0.2022072957857537	1.63	704
1	90	14.113453674415393	-0.20133102294002292	1.63	704
1	91	14.147726748076186	-0.19709124464060035	1.63	704
1	92	14.186459326326418	-0.19221380425660484	1.63	704
1	93	14.220115868616446	-0.1880892117505939	1.63	704
1	94	14.25458289841076	-0.17918384843652202	1.63	704
1	95	14.291114171150696	-0.1699421432592576	1.63	704
1	96	14.326542451326976	-0.160085641890783	1.63	704
1	97	14.359776237276563	-0.14928362543084095	1.63	704
1	98	14.394683045833919	-0.13599387464911494	1.63	704
1	99	14.428456453162532	-0.12243789468316546	1.63	704
1	100	14.459855802506578	-0.09917890738486546	1.63	704
1	101	14.491550176050513	-0.08786569681093037	1.63	704
1	102	14.521973084232238	-0.07425761175882561	1.63	704
1	103	14.54979161680821	-0.062458563658888355	1.63	704
1	104	14.583145692514087	-0.04681509921656257	1.63	704
1	105	14.615081680216814	-0.03486991087404978	1.63	704
1	106	14.64636447345936	-0.029816923400321382	1.63	704
1	107	14.679247118615827	-0.0100098046024788	1.63	704
1	108	14.709748261026071	-0.0004725214474297079	1.63	704
1	109	14.73958335781754	0.006756806082292677	1.63	704
1	110	14.769060889361082	0.013113580306528538	1.63	704
1	111	14.801251717686977	0.014295959257247137	1.63	704
1	112	14.831315539411818	0.019242023584357337	1.63	704
1	113	14.864616674041823	0.02858661918293648	1.63	704
1	114	14.896104504863507	0.031102766787325375	1.63	704
1	115	14.930912134149805	0.02902728530539389	1.63	704
1	116	0.0003900000000001125	0.03022999999999998	1.63	704
1	117	0.035840000000000094	0.026350000000000096	1.63	704
1	118	0.07525000000000004	0.026450000000000085	1.63	704
1	119	0.11519999999999997	0.01705000000000001	1.63	704
1	120	0.14986999999999995	0.010869999999999935	1.63	704
1	121	0.18611	0.009070000000000134	1.63	704
1	122	0.22292	0.007800000000000029	1.63	704
1	123	0.25925	0.005889999999999951	1.63	704
1	124	0.2984800000000001	0.013819999999999943	1.63	704
1	125	0.33043	0.00719000000000003	1.63	704
1	126	0.36334999999999984	0.017840000000000078	1.63	704
1	127	0.40256000000000003	0.013470000000000093	1.63	704
1	128	0.43891000000000013	0.017330000000000068	1.63	704
1	129	0.4736800000000001	0.0220800000000001	1.63	704
1	130	0.5124899999999999	0.029570000000000096	1.63	704
1	131	0.5502499999999999	0.03605999999999998	1.63	704
1	132	0.5888799999999998	0.04137000000000013	1.63	704
1	133	0.6259599999999998	0.052890000000000104	1.63	704
1	134	0.6687800000000002	0.053590000000000027	1.63	704
1	135	0.7057499999999999	0.06645000000000012	1.63	704
1	136	0.74475	0.06915000000000004	1.63	704
1	137	0.78976	0.07621000000000011	1.63	704
1	138	0.8270000000000002	0.07972000000000001	1.63	704
1	139	0.8648100000000001	0.08255000000000012	1.63	704
1	140	0.9077499999999998	0.07976000000000005	1.63	704
1	141	0.94716	0.07427000000000006	1.63	704
1	142	0.9857500000000001	0.07696000000000014	1.63	704
1	143	1.02411	0.07979000000000003	1.63	704
1	144	1.0595200000000002	0.07662999999999998	1.63	704
1	145	1.10022	0.07225000000000015	1.63	704
1	146	1.1379	0.06699999999999995	1.63	704
1	147	1.17927	0.05960999999999994	1.63	704
1	148	1.2179499999999999	0.05618000000000012	1.63	704
1	149	1.25898	0.049610000000000154	1.63	704
1	150	1.3001099999999999	0.044580000000000064	1.63	704
1	151	1.32913	0.036210000000000075	1.63	704
1	152	1.3762200000000002	0.03476999999999997	1.63	704
1	153	1.41434	0.03452999999999995	1.63	704
1	154	1.44846	0.03370000000000006	1.63	704
1	155	1.4835800000000001	0.030480000000000063	1.63	704
1	156	1.5219699999999998	0.033379999999999965	1.63	704
1	157	1.5538	0.034459999999999935	1.63	704
1	158	1.5925	0.03635999999999995	1.63	704
1	159	1.6311799999999999	0.04242999999999997	1.63	704
1	160	1.6683900000000003	0.04544000000000015	1.63	704
1	161	1.69893	0.047190000000000065	1.63	704
1	162	1.74914	0.05628000000000011	1.63	704
1	163	1.7882399999999998	0.05973000000000006	1.63	704
1	164	1.83355	0.06642999999999999	1.63	704
1	165	1.87922	0.06834000000000007	1.63	704
1	166	1.9181700000000002	0.06740999999999997	1.63	704
1	167	1.95978	0.07033	1.63	704
1	168	1.9998500000000001	0.07014999999999993	1.63	704
1	169	2.04122	0.0696000000000001	1.63	704
1	170	2.0788	0.06505000000000005	1.63	704
1	171	2.11695	0.06350000000000011	1.63	704
1	172	2.1481200000000005	0.05937999999999999	1.63	704
1	173	2.1876100000000003	0.05068000000000006	1.63	704
1	174	2.2225599999999996	0.04543000000000008	1.63	704
1	175	2.25601	0.03371000000000013	1.63	704
1	176	2.2966499999999996	0.021320000000000006	1.63	704
1	177	2.330939029744916	0.010281866732272604	1.63	704
1	178	2.3721833947607673	-0.0025237444806678333	1.63	704
1	179	2.4152283398176726	-0.015114971504112118	1.63	704
1	180	2.454614519324971	-0.02766252327082097	1.63	704
1	181	2.495467040115456	-0.03841478506409701	1.63	704
1	182	2.5370364131643943	-0.04820973704420339	1.63	704
1	183	2.5750765885221334	-0.055827645296782746	1.63	704
1	184	2.6095804176610433	-0.06255041714705145	1.63	704
1	185	2.6451698646036856	-0.06302172374666704	1.63	704
1	186	2.6900558062810425	-0.0672197203338678	1.63	704
1	187	2.7249781746801203	-0.0664444123113328	1.63	704
1	188	2.761972164426637	-0.06300247558479155	1.63	704
1	189	2.790487010726357	-0.0646797652839981	1.63	704
1	190	2.835895737017394	-0.06403455567279126	1.63	704
1	191	2.8743398399792697	-0.06640840807991144	1.63	704
1	192	2.916363730392233	-0.05921357913766423	1.63	704
1	193	2.966512086719951	-0.05776172731591478	1.63	704
1	194	3.0088513402932544	-0.05110798313331988	1.63	704
1	195	3.0534145381320297	-0.041789084448186964	1.63	704
1	196	3.0971858799471725	-0.03816845929855295	1.63	704
1	197	3.14174258543224	-0.029232032368605942	1.63	704
1	198	3.182365067670501	-0.024441839059580195	1.63	704
1	199	3.2254982413118345	-0.02559661964769333	1.63	704
1	200	3.2604641923209083	-0.019180744012384565	1.63	704
1	201	3.2987265487231987	-0.025886395814627594	1.63	704
1	202	3.3169275595026955	-0.024201444889311974	1.63	704
1	203	3.3779953305722783	-0.026679580458620178	1.63	704
1	204	3.411909387341159	-0.0234652907484576	1.63	704
1	205	3.4580617111843184	-0.023014644442058918	1.63	704
1	206	3.4974730552699085	-0.02981607892807414	1.63	704
1	207	3.514268925253461	-0.029831707198291868	1.63	704
1	208	3.5527049372718187	-0.03754084293585902	1.63	704
1	209	3.597114076166261	-0.02619955314700051	1.63	704
1	210	3.641658407171322	-0.028157490599041157	1.63	704
1	211	3.6851031258317706	-0.026579151513693056	1.63	704
1	212	3.7145148233392407	-0.02690149867606606	1.63	704
1	213	3.762173209197123	-0.0203017572262032	1.63	704
1	214	3.795649931364017	-0.014812903059713944	1.63	704
1	215	3.833060815172132	-0.005295238348231646	1.63	704
1	216	3.8691201859997184	-0.0014955663693230203	1.63	704
1	217	3.9008888149560432	0.0033560611374670035	1.63	704
1	218	3.942294703519598	0.008869764659058088	1.63	704
1	219	3.975125632731308	0.015558997814247633	1.63	704
1	220	4.016126424532222	0.022968509566154705	1.63	704
1	221	4.054896882934058	0.03470991048904315	1.63	704
1	222	4.083703398963435	0.04751297291066381	1.63	704
1	223	4.111869672196814	0.04526379829217109	1.63	704
1	224	4.159739418802296	0.05823578281805131	1.63	704
1	225	4.204153734499716	0.0781971673683528	1.63	704
1	226	4.242896776334839	0.09149274933891083	1.63	704
1	227	4.277374170627719	0.08971811245385375	1.63	704
1	228	4.325534472081941	0.10692920887553115	1.63	704
1	229	4.3514073144907375	0.1042078508546247	1.63	704
1	230	4.3886004556369596	0.10687338519313894	1.63	704
1	231	4.423567540378024	0.10919360006225598	1.63	704
1	232	4.458930169348745	0.10400833185022273	1.63	704
1	233	4.4962671450889005	0.09838826037010429	1.63	704
1	234	4.530997825723725	0.08856312258140386	1.63	704
1	235	4.566141200961871	0.07954035142288651	1.63	704
1	236	4.604579855765056	0.06255338991226811	1.63	704
1	237	4.645354270197316	0.050302695933874375	1.63	704
1	238	4.680966995058991	0.03897107660255705	1.63	704
1	239	4.731956073572938	0.03775479652703151	1.63	704
1	240	4.770031571400425	0.029131497530791695	1.63	704
1	241	4.802485681913133	0.022460358304495776	1.63	704
1	242	4.8453330235923575	0.019712467282915425	1.63	704
1	243	4.886571182531467	0.018018420192055018	1.63	704
1	244	4.925316241429265	0.018223867261226045	1.63	704
1	245	4.955060029787619	0.01642405755557874	1.63	704
1	246	4.992778655945468	0.015016192834172104	1.63	704
1	247	5.026824681646241	0.007706308638536052	1.63	704
1	248	5.063839957166717	0.004664770399128049	1.63	704
1	249	5.093946517389023	-0.005052254781325649	1.63	704
1	250	5.136760130909352	-0.00971885650660509	1.63	704
1	251	5.171668131020831	-0.011874386837199324	1.63	704
1	252	5.208255930997463	-0.010837486488908032	1.63	704
1	253	5.251962181459411	-0.009168257833851223	1.63	704
1	254	5.28766315583321	-9.625004971902662e-05	1.63	704
1	255	5.335074254534345	0.006111291248266371	1.63	704
1	256	5.370630656498028	0.018261742832940575	1.63	704
1	257	5.4125746150870455	0.022847934182901763	1.63	704
1	258	5.452180700122907	0.029848615203167617	1.63	704
1	259	5.491917971155784	0.03578167512878183	1.63	704
1	260	5.5318367016347825	0.03721630083400984	1.63	704
1	261	5.568487026779059	0.03808793449867465	1.63	704
1	262	5.601046563348354	0.03178659335838496	1.63	704
1	263	5.6433363211927094	0.027992598106439504	1.63	704
1	264	5.678049724214246	0.02080290638961957	1.63	704
1	265	5.715791067632717	0.0009097607380001982	1.63	704
1	266	5.760762822055014	-0.001503614410998777	1.63	704
1	267	5.798802696639145	-0.011883165308408161	1.63	704
1	268	5.840769403421719	-0.02264925879514257	1.63	704
1	269	5.882800131122126	-0.027486946585637106	1.63	704
1	270	5.92261380035217	-0.03830797979266465	1.63	704
1	271	5.9592203994809285	-0.037990617272964045	1.63	704
1	272	6.002209264429114	-0.04607576223189436	1.63	704
1	273	6.04305810453032	-0.04217099534807445	1.63	704
1	274	6.077918353002852	-0.049548764098074294	1.63	704
1	275	6.110705270583205	-0.0539055541729363	1.63	704
1	276	6.150905393227137	-0.056753473281677236	1.63	704
1	277	6.193491502264072	-0.06082435898356375	1.63	704
1	278	6.233062587531943	-0.06214377722666553	1.63	704
1	279	6.2752236431934625	-0.06869431841911089	1.63	704
1	280	6.315538892254655	-0.0845296518617793	1.63	704
1	281	6.36499290522909	-0.08808874144527623	1.63	704
1	282	6.411351710145318	-0.08506231734295566	1.63	704
1	283	6.457310368043989	-0.08099969926707784	1.63	704
1	284	6.503037334784834	-0.07481160739421333	1.63	704
1	285	6.5498283400658455	-0.05705693796043043	1.63	704
1	286	6.586401378760528	-0.059839023872110486	1.63	704
1	287	6.6307879794485185	-0.04381177463536301	1.63	704
1	288	6.668494463711937	-0.03582961834879361	1.63	704
1	289	6.711049129532578	-0.02879792138672621	1.63	704
1	290	6.75030424366691	-0.028582889290975633	1.63	704
1	291	6.793069136812607	-0.028161100324695543	1.63	704
1	292	6.838600667863349	-0.024388623994036962	1.63	704
1	293	6.884555339610668	-0.028289766141929018	1.63	704
1	294	6.930901346493482	-0.018545582800425953	1.63	704
1	295	6.97230578970067	-0.04140701748391318	1.63	704
1	296	7.020119708866374	-0.037535312479681116	1.63	704
1	297	7.062881409380949	-0.051821021631181186	1.63	704
1	298	7.108268315628643	-0.043232281473143175	1.63	704
1	299	7.155953173343862	-0.04027172960775749	1.63	704
1	300	7.1958822660758655	-0.03330857335111714	1.63	704
1	301	7.23843599114882	-0.0303298630894	1.63	704
1	302	7.2778182804848015	-0.019583142843523582	1.63	704
1	303	7.317859057482848	-0.013859828101515648	1.63	704
1	304	7.357338692542488	-0.010670581182658845	1.63	704
1	305	7.39840705993649	-0.005286754932641191	1.63	704
1	306	7.437199293255672	0.006665811864300597	1.63	704
1	307	7.4792403053273135	0.008435863396592858	1.63	704
1	308	7.530417878423157	0.01085000000000047	1.63	704
1	309	7.574027878423157	0.016340000000000465	1.63	704
1	310	7.6215578784231575	0.007400000000000517	1.63	704
1	311	7.664867878423157	0.01286000000000076	1.63	704
1	312	7.711367878423157	0.0261900000000006	1.63	704
1	313	7.754167878423157	0.038429999999999964	1.63	704
1	314	7.796257878423157	0.06941000000000042	1.63	704
1	315	7.836917878423157	0.08361000000000018	1.63	704
1	316	7.879357878423157	0.0940000000000003	1.63	704
1	317	7.9238278784231575	0.08876000000000062	1.63	704
1	318	7.966187878423157	0.11248000000000058	1.63	704
1	319	8.003407878423157	0.11345000000000027	1.63	704
1	320	8.054777878423158	0.13049	1.63	704
1	321	8.101797878423158	0.1298300000000001	1.63	704
1	322	8.147677878423158	0.12887000000000004	1.63	704
1	323	8.200927878423157	0.12346000000000057	1.63	704
1	324	8.251177878423157	0.11931000000000047	1.63	704
1	325	8.299257878423157	0.1117600000000003	1.63	704
1	326	8.348317878423158	0.1040100000000006	1.63	704
1	327	8.393447878423157	0.10151000000000021	1.63	704
1	328	8.440057878423158	0.1025400000000003	1.63	704
1	329	8.489047878423158	0.10497000000000067	1.63	704
1	330	8.529677878423158	0.09793000000000074	1.63	704
1	331	8.570707878423157	0.10235000000000039	1.63	704
1	332	8.611377878423157	0.10770000000000035	1.63	704
1	333	8.652257878423157	0.10173000000000076	1.63	704
1	334	8.693727878423157	0.10470000000000024	1.63	704
1	335	8.737117878423158	0.10332000000000008	1.63	704
1	336	8.780027878423157	0.09848999999999997	1.63	704
1	337	8.824037878423157	0.09249000000000063	1.63	704
1	338	8.874397878423157	0.09053000000000022	1.63	704
1	339	8.922287878423157	0.08541000000000043	1.63	704
1	340	8.967907878423157	0.07983000000000029	1.63	704
1	341	9.015287878423157	0.08498000000000072	1.63	704
1	342	9.060907878423157	0.08951000000000064	1.63	704
1	343	9.103167878423157	0.09514000000000067	1.63	704
1	344	9.143837878423158	0.09556000000000076	1.63	704
1	345	9.187897878423158	0.10253000000000068	1.63	704
1	346	9.231357878423157	0.10578000000000021	1.63	704
1	347	9.274937878423158	0.10846	1.63	704
1	348	9.317007878423157	0.10716999999999999	1.63	704
1	349	9.363187878423158	0.10209000000000046	1.63	704
1	350	9.405387878423157	0.10121000000000002	1.63	704
1	351	9.449527878423158	0.08890000000000065	1.63	704
1	352	9.495537878423157	0.07633000000000045	1.63	704
1	353	9.542167878423157	0.06687000000000065	1.63	704
1	354	9.586917878423158	0.052690000000000126	1.63	704
1	355	9.629347878423157	0.04159000000000024	1.63	704
1	356	9.675297878423157	0.028910000000000657	1.63	704
1	357	9.716007878423158	0.015440000000000786	1.63	704
1	358	9.755537878423157	-0.00016999999999978144	1.63	704
1	359	9.79643877428955	-0.011690619571504302	1.63	704
1	360	9.835590134124525	-0.021712628772180498	1.63	704
1	361	9.873876561489142	-0.0315296379296901	1.63	704
1	362	9.911967921928404	-0.04157696049826454	1.63	704
1	363	9.954250848439747	-0.04988244375608408	1.63	704
1	364	9.995430240122893	-0.059534462995189275	1.63	704
1	365	10.040775344476428	-0.06956580823496417	1.63	704
1	366	10.084561327200174	-0.0798781274053908	1.63	704
1	367	10.130334377986461	-0.0925332351218533	1.63	704
1	368	10.177748714926226	-0.10221539431353688	1.63	704
1	369	10.224597390565394	-0.11064224609741835	1.63	704
1	370	10.27426312877129	-0.11497526466183605	1.63	704
1	371	10.316605985299732	-0.11690126260569866	1.63	704
1	372	10.36430252167748	-0.11796335892381449	1.63	704
1	373	10.408361694204231	-0.11490406472429204	1.63	704
1	374	10.454862430470746	-0.11229511358648492	1.63	704
1	375	10.497469842506865	-0.11401275353601914	1.63	704
1	376	10.541827793159078	-0.11654068061783862	1.63	704
1	377	10.585779465238813	-0.11882338727238873	1.63	704
1	378	10.630928651089231	-0.12350736425490716	1.63	704
1	379	10.673772855710023	-0.13015383149346293	1.63	704
1	380	10.724954716902685	-0.13835079966150876	1.63	704
1	381	10.777790340516862	-0.14928735573928065	1.63	704
1	382	10.825495526048233	-0.161040810685531	1.63	704
1	383	10.876168940727137	-0.1720267093495902	1.63	704
1	384	10.927220912559951	-0.18248025250083955	1.63	704
1	385	10.970352478508541	-0.1975635528533437	1.63	704
1	386	11.024889245865344	-0.2068932450009111	1.63	704
1	387	11.069763856302949	-0.21471777374622225	1.63	704
1	388	11.117381174253218	-0.22472785014194585	1.63	704
1	389	11.1616829600137	-0.23147183631201718	1.63	704
1	390	11.213959823132502	-0.23923750704663282	1.63	704
1	391	11.255050263870087	-0.24458410398345043	1.63	704
1	392	11.30772706280957	-0.2479517210823301	1.63	704
1	393	11.346689831436798	-0.2522888460626065	1.63	704
1	394	11.397536189897952	-0.2569082566072687	1.63	704
1	395	11.44633641073106	-0.2581627194229923	1.63	704
1	396	11.498690453342931	-0.26261903751853377	1.63	704
1	397	11.562698495350746	-0.26364114447088416	1.63	704
1	398	11.607743973133873	-0.27019665828785566	1.63	704
1	399	11.65789299348943	-0.2659738010756445	1.63	704
1	400	11.708882466183779	-0.26948100754643756	1.63	704
1	401	11.770932956432734	-0.26328454727546946	1.63	704
1	402	11.815642397759213	-0.2631653611331308	1.63	704
1	403	11.852217305257236	-0.2654741301022938	1.63	704
1	404	11.903653319685567	-0.2654687546956551	1.63	704
1	405	11.957318770261345	-0.2613929841384206	1.63	704
1	406	11.999984534101431	-0.26355426671795046	1.63	704
1	407	12.049885837541177	-0.26469445074958275	1.63	704
1	408	12.100455168345732	-0.2673213987549383	1.63	704
1	409	12.148734501518671	-0.2737507922469127	1.63	704
1	410	12.204465553310278	-0.27679217502812037	1.63	704
1	411	12.258478944853103	-0.2820234604420293	1.63	704
1	412	12.316750608659303	-0.28622032611972115	1.63	704
1	413	12.37153939663557	-0.2885361921813714	1.63	704
1	414	12.42749008097373	-0.2945426824908872	1.63	704
1	415	12.478198933186817	-0.3044936172563135	1.63	704
1	416	12.534927274998566	-0.31145000407007584	1.63	704
1	417	12.585219704629164	-0.31620269627502995	1.63	704
1	418	12.634141685968707	-0.321245431866366	1.63	704
1	419	12.685132452246322	-0.3248573644697712	1.63	704
1	420	12.73464630954903	-0.32749575005559994	1.63	704
1	421	12.782411525159223	-0.32797139033945233	1.63	704
1	422	12.827009243560767	-0.32941241865599835	1.63	704
1	423	12.88477252090972	-0.3321208818165453	1.63	704
1	424	12.936793909611183	-0.3251406761361415	1.63	704
1	425	12.996098030883912	-0.324251794136986	1.63	704
1	426	13.045972400899444	-0.3193018404671928	1.63	704
1	427	13.106747649736196	-0.31292524453978277	1.63	704
1	428	13.163708498863127	-0.304547780356359	1.63	704
1	429	13.221561233761513	-0.2972794627211428	1.63	704
1	430	13.272094270198195	-0.2902647509809124	1.63	704
1	431	13.321996919654964	-0.2870084924662957	1.63	704
1	432	13.375089618809417	-0.27736303859141276	1.63	704
1	433	13.42330372873031	-0.2681968631802141	1.63	704
1	434	13.474723493152297	-0.26193903596095613	1.63	704
1	435	13.528869663622203	-0.2575744810942311	1.63	704
1	436	13.577786817188603	-0.24993114948014084	1.63	704
1	437	13.625732125174553	-0.24512008165786625	1.63	704
1	438	13.680739020120654	-0.2432462606397663	1.63	704
1	439	13.724876642763899	-0.23593618669594685	1.63	704
1	440	13.77521887284587	-0.233425971260238	1.63	704
1	441	13.83357866403897	-0.22793906592403723	1.63	704
1	442	13.8771514169018	-0.2244097111550598	1.63	704
1	443	13.932683561257932	-0.22025967207328168	1.63	704
1	444	13.987228394886785	-0.21776589264149981	1.63	704
1	445	14.039067836853409	-0.21733179191272622	1.63	704
1	446	14.092155731049257	-0.21508608219552072	1.63	704
1	447	14.139177422906236	-0.21093384776793545	1.63	704
1	448	14.189239154104275	-0.20461447731063798	1.63	704
1	449	14.232425643243863	-0.20117006708861784	1.63	704
1	450	14.278606407542902	-0.18786138163989397	1.63	704
1	451	14.324615653806848	-0.18097004111556658	1.63	704
1	452	14.372503712648749	-0.17892294759927685	1.63	704
1	453	14.418867352869364	-0.1678298303838388	1.63	704
1	454	14.464567370645264	-0.15287611050387673	1.63	704
1	455	14.509733564257617	-0.13202625460780792	1.63	704
1	456	14.557763929326574	-0.12343901382879574	1.63	704
1	457	14.602212894529346	-0.10691975160071476	1.63	704
1	458	14.648745894799717	-0.08890465364859912	1.63	704
1	459	14.696131400933801	-0.06514225162003884	1.63	704
1	460	14.741183821460478	-0.054436946717554724	1.63	704
1	461	14.784550677342065	-0.034224434861078734	1.63	704
1	462	14.832155240059034	-0.018213153012931027	1.63	704
1	463	14.876005633753223	-0.003502790618824081	1.63	704
1	464	14.92159274603435	0.014557385613364948	1.63	704
1	465	14.963334656895181	0.028994740968535826	1.63	704
1	466	0.035190000000000055	0.03913999999999995	1.63	704
1	467	0.07638999999999996	0.05728	1.63	704
1	468	0.12048999999999999	0.06984999999999997	1.63	704
1	469	0.16471999999999998	0.07399	1.63	704
1	470	0.21053999999999995	0.08600000000000008	1.63	704
1	471	0.25393	0.1019000000000001	1.63	704
1	472	0.30182	0.10709000000000013	1.63	704
1	473	0.3515400000000002	0.10627000000000009	1.63	704
1	474	0.40249	0.10582000000000003	1.63	704
1	475	0.45148999999999995	0.11360000000000015	1.63	704
